ID	LCS_501	LCS_502	LCS_503	LCS_504	LCS_505	LCS_506	LCS_507	LCS_508	LCS_509	LCS_510	LCS_511	LCS_512	LCS_513	LCS_514	LCS_515	LCS_516	LCS_517	LCS_518	LCS_519	LCS_520	LCS_524	LCS_525	LCS_527	LCS_528	LCS_529	LCS_530	LCS_536	LCS_537	LCS_539	LCS_540	LCS_541	LCS_542	LCS_543	LCS_544	LCS_545	LCS_546	LCS_547	LCS_548	LCS_549	LCS_550	LCS_551	LCS_552	LCS_553	LCS_557	LCS_558	LCS_559	LCS_560	LCS_562	LCS_563	LCS_564	LCS_565	LCS_566	LCS_567	LCS_584
Hypotaurine	17.0613	14.6941	14.6941	14.6941	20.2631	18.7336	21.2633	23.2162	19.2949	17.7997	20.9778	18.1207	22.105	14.6941	20.9189	14.6941	14.6941	19.3592	22.9611	18.629	14.6941	14.6941	17.9468	21.7802	18.8734	22.5083	19.22	21.2767	14.6941	20.7258	21.0771	19.6288	18.9766	14.6941	19.4553	16.3219	21.2023	18.2976	18.7489	14.6941	23.0229	20.1569	22.9993	22.1237	19.0231	21.627	20.8863	14.6941	14.6941	14.6941	21.8352	15.471	21.0767	18.8437
Imidazolepropionic acid	15.2046	12.7518	22.4492	15.2006	20.556	24.7325	22.4553	17.7739	17.9992	12.7518	22.1357	18.9209	22.7597	16.0687	19.9371	12.7518	12.7518	17.5822	20.8448	17.4686	21.3907	20.0272	18.6299	19.151	16.3201	24.7673	12.7518	19.0104	20.19	22.446	18.2146	17.1065	23.4212	20.1629	18.8649	15.7881	21.0324	21.7207	19.8247	25.8128	26.5276	18.1002	17.4607	12.7518	24.2849	17.9883	19.1506	22.0191	18.548	18.9083	21.4606	21.8806	19.5601	16.2242
Indole-3-propionic acid	16.818	14.5744	12.8116	18.3451	12.8116	17.7022	12.8116	15.719	12.8116	12.8116	17.5132	12.8116	18.4563	12.8116	12.8116	12.8116	15.0621	21.1263	15.619	12.8116	12.8116	12.8116	20.0067	18.5447	13.6455	15.8789	12.8116	12.8116	12.8116	12.8116	12.8116	17.4656	12.8116	12.8116	18.3834	18.288	18.0769	17.4754	17.4656	12.8116	12.8116	15.687	17.2153	22.3479	12.8116	16.8999	12.8116	17.2847	20.2732	12.8116	12.8116	12.8116	17.4668	14.862
myo-Inositol 1-phosphate	19.9562	19.1924	13.4799	19.124	19.0087	18.5003	16.4693	13.4799	17.3534	16.5494	18.5422	17.0283	18.76	16.1271	19.6398	13.4799	18.0887	17.5648	13.4799	17.7097	18.9275	17.6078	18.237	13.4799	16.0872	13.4799	17.2489	17.1429	18.5726	13.4799	18.9965	13.4799	19.5984	17.1224	19.138	18.5563	19.2995	19.3373	17.7033	13.4799	13.4799	19.3385	19.6748	13.4799	18.4967	13.4799	18.0748	16.1856	16.0249	18.0634	19.7783	19.7005	17.6054	13.4799
Kynurenic acid	11.5314	11.5314	11.5314	15.9983	11.5314	11.5314	14.8874	11.5314	11.5314	16.2054	16.8942	16.7507	15.6469	15.1972	15.2952	15.1598	13.2332	16.5287	15.5699	11.5314	15.8625	11.5314	19.2189	11.5314	11.5314	13.7749	15.0061	15.968	11.5314	11.7087	11.5314	15.9534	15.8282	16.0743	16.741	14.8522	14.8833	15.3739	11.5314	16.8522	16.4627	14.4504	11.5314	11.5314	15.5286	11.5314	15.6135	15.4031	11.5314	17.2071	11.5314	14.4514	12.7469	11.5314
Dodecanoylcarnitine	24.5343	23.9701	18.5831	14.3809	19.7654	14.3809	22.1388	14.3809	20.5087	14.3809	25.2592	21.4187	19.5196	22.9793	23.037	15.9112	18.2265	21.5664	21.1246	22.7536	20.124	21.0338	19.3811	20.9608	15.916	14.3809	18.8723	22.5022	22.9742	19.7451	19.3079	20.4395	19.7222	14.3809	22.8573	21.7271	20.7146	23.0095	20.299	20.6874	20.4427	18.3799	21.8356	22.2877	19.6263	19.0866	18.8935	19.8707	25.0978	22.0669	22.0167	20.2683	23.0197	21.4317
Lidocaine	20.4851	14.487	22.1264	16.9844	23.1159	25.7451	20.0296	23.6937	17.4522	25.9502	19.6819	15.89	14.487	25.3333	23.7465	18.1936	17.5696	21.7456	25.026	14.487	28.851	23.8065	17.2257	15.223	25.4253	24.2493	26.7986	24.3605	26.3776	25.0441	25.0285	25.7383	26.0193	24.3946	31.0008	26.9102	28.5851	25.0316	25.704	26.5331	25.6297	26.0438	25.8789	26.7957	22.2273	25.8506	25.8486	25.549	26.8525	17.4822	17.116	14.597	18.9442	23.5803
D-Maltose	14.8188	18.3906	13.1864	18.7474	20.1937	18.7431	19.0233	13.1864	20.5883	19.9696	18.4929	20.6388	20.8912	16.7259	18.8926	18.9395	20.1864	20.6117	14.5722	13.1864	19.7403	13.1864	18.3252	13.1864	19.2818	13.1864	20.6686	13.1864	19.649	21.056	13.1864	20.747	20.6416	21.3261	18.9605	19.3503	20.1241	21.8896	21.0475	21.3229	19.3217	20.3335	18.4604	13.1864	19.0895	19.9727	22.2228	22.755	17.7376	18.9846	17.8198	20.6195	20.0528	13.1864
Maltotetraose	14.1368	17.202	11.2883	16.9947	18.33	18.401	15.7553	15.4181	18.8729	17.5062	16.0681	19.3957	18.8425	15.9629	16.3243	17.9318	17.2926	16.6388	11.2883	16.1799	17.4959	16.3558	17.7033	11.2883	17.9318	12.7419	16.7377	17.9643	18.6404	18.3073	16.5221	15.7139	20.0337	19.2292	16.1534	14.7276	17.9318	20.2744	19.443	19.6389	18.3607	18.8682	16.8675	11.2883	16.3498	17.9805	19.8551	21.6966	15.8224	18.22	15.9105	17.9318	13.3636	14.3362
Maltotriose	14.2585	18.0847	13.6609	16.2546	20.1922	19.2933	18.2718	13.6609	20.1792	19.003	19.5034	20.8714	20.0198	18.9778	18.34	19.645	20.1215	19.2401	13.6609	16.4667	19.5972	18.0728	18.4807	13.6609	19.8754	13.6609	19.2479	17.021	20.2949	20.3087	17.3944	18.3562	20.9475	21.3135	19.0768	18.1535	19.9154	22.2831	21.1684	21.8932	19.8909	20.4887	18.8642	13.6609	19.156	19.7862	22.0629	22.9996	17.6188	20.1808	17.0173	20.348	19.4026	13.6609
5,8,11-Eicosatrienoic acid	23.1714	24.1743	17.7733	22.0537	22.4932	24.2125	21.6159	22.0105	20.0786	24.1329	25.7664	23.7932	28.3672	19.5594	20.5724	19.6245	16.7083	32.9241	26.3704	22.9786	24.2978	21.6154	21.5193	25.5109	23.6107	27.2077	22.5196	18.8511	17.5117	23.7726	25.3895	26.4125	20.1384	17.682	24.677	21.1193	22.2796	23.5516	28.7665	19.2989	22.3804	24.7958	18.4655	20.829	21.6674	23.1022	19.708	24.3488	19.6937	19.2967	22.7288	21.8316	20.9844	21.7943
2,4-Dihydroxyacetophenone 5-sulfate	15.1295	12.0279	18.4879	18.4793	14.8973	22.7931	12.0279	17.8118	19.0279	19.5788	12.0279	12.0279	18.7624	19.3415	19.3959	18.3883	12.0279	19.2484	17.8746	19.0565	20.5731	18.276	14.4738	19.3119	19.0677	17.9173	23.6277	20.7588	20.2352	16.7164	16.6255	20.6791	18.1709	16.6466	21.6021	21.0422	20.7285	19.098	20.9412	20.1804	18.4468	19.0677	18.9228	20.1794	12.0279	18.326	18.3502	18.9089	19.0677	12.0279	12.0279	19.1064	16.0403	19.6515
N1-Acetylspermine	20.6145	21.4694	17.0567	11.983	11.983	11.983	11.983	21.6999	24.6271	15.4543	20.2335	21.7037	17.9949	11.983	11.983	11.983	14.4153	21.3782	20.3544	14.2118	19.6599	11.983	11.983	20.3488	17.4995	16.1794	19.5035	19.1204	11.983	20.4406	15.6682	20.0462	16.8538	11.983	11.983	19.4383	14.7852	15.3296	11.983	17.3595	11.983	15.7843	11.983	19.3875	11.983	17.9465	17.464	16.2582	11.983	11.983	11.983	11.983	22.1923	22.3477
2-Furoylglycine	13.0706	15.0677	12.3376	15.9221	13.5441	15.1511	14.681	7.99435	7.99435	13.6092	14.5447	7.99435	7.99435	7.99435	15.1305	7.99435	16.28	7.99435	7.99435	7.99435	7.99435	7.99435	13.7393	14.5218	7.99435	7.99435	7.99435	13.9839	7.99435	14.7292	7.99435	7.99435	17.396	14.5881	7.99435	7.99435	7.99435	7.99435	15.3006	13.3344	15.2262	12.8392	7.99435	7.99435	11.1618	7.99435	7.99435	14.391	7.99435	13.1053	7.99435	14.6338	7.99435	7.99435
N4-Acetylcytidine	14.3168	15.7208	14.899	16.81	12.0224	14.505	14.9516	17.3389	18.2714	18.1723	17.1185	16.704	17.3001	15.4411	16.0297	15.3214	12.0224	18.6849	18.4699	14.6862	16.3647	12.0224	17.673	17.6332	17.6043	19.6115	15.4181	15.5863	17.2026	17.2128	14.0766	14.765	15.7727	12.0224	16.2427	12.0224	16.2786	12.0224	13.2691	16.9383	12.0224	15.3839	12.0224	15.6343	15.8894	12.0224	12.0224	16.2481	14.4423	12.0224	14.0199	12.0224	16.0969	16.6361
N6-Methyladenosine	17.1198	18.6076	12.8386	12.8386	12.8386	12.8386	13.3473	14.6254	12.8386	15.0838	18.5137	12.8386	16.7849	12.8386	16.8549	12.8386	14.9071	16.9761	17.1024	17.0467	12.8386	12.8386	15.7886	19.353	12.8386	15.6624	14.2063	16.5925	17.654	12.8386	18.2777	16.5697	12.8386	17.1716	19.128	12.8386	20.2827	17.5371	16.6732	17.495	17.4654	18.4674	12.8386	13.9102	12.8386	16.9546	12.8386	12.8386	13.4077	12.8386	16.7962	16.026	12.8386	12.8386
N-Acetylaspartylglutamic acid	13.0995	13.0995	13.0995	17.6459	18.095	13.0995	18.2563	13.0995	17.5042	13.0995	23.7352	15.5663	18.9907	13.0995	18.8552	13.0995	13.0995	13.0995	18.2866	19.1473	16.3175	13.0995	18.5853	18.737	19.1835	13.0995	16.3686	13.1713	17.5891	16.7544	19.2267	13.0995	15.9126	13.0995	16.8329	22.7128	19.7382	13.0995	13.0995	13.0995	19.2042	17.5188	18.1124	13.0995	17.9308	17.107	16.6125	13.0995	13.0995	13.0995	19.9744	13.0995	18.6939	13.0995
Acetylcarnosine	13.1038	13.1038	14.7269	17.3741	17.4071	16.0812	17.8358	13.1038	13.1038	13.1038	13.1038	13.1038	14.6765	13.1038	17.1259	13.1038	13.1038	13.1038	17.7498	13.1038	17.3829	13.1038	20.9287	17.006	16.1866	14.1297	13.1038	13.1038	18.84	13.1038	13.1038	17.0202	17.9713	15.4806	13.9998	13.1038	17.3587	13.1038	16.6962	13.1038	13.1038	13.1038	17.0134	13.1038	19.2469	13.1038	16.8698	15.6252	13.1038	13.1038	13.1038	13.1038	15.9002	13.1038
N-Acetyl-glucosamine 1-phosphate	18.7922	19.3085	15.4766	18.4951	16.8169	18.0459	17.4259	20.6743	20.6565	19.2209	18.9116	19.6743	20.5325	9.51767	17.7932	20.1037	16.781	18.8549	19.2152	17.569	18.6407	19.1011	19.8846	17.4923	18.1617	18.1546	21.0257	18.1455	19.189	18.8628	19.7342	17.9865	9.51767	21.8056	19.1929	17.7007	18.6535	19.2395	19.8844	17.576	21.448	19.3603	18.2383	18.8358	19.1578	20.4262	19.7766	19.8084	19.606	17.2022	17.398	18.456	17.955	19.1045
N-Acetylglutamine	22.1098	23.0013	19.6319	23.3952	20.4592	20.2406	20.9722	18.5017	17.8876	20.5903	23.7859	18.4351	22.1715	18.3401	21.869	21.6102	20.9743	20.2171	21.2925	23.8794	23.9727	18.8896	24.2275	21.1755	21.684	19.5535	18.1521	22.1439	21.463	19.2924	19.6408	18.3015	20.8206	23.3783	20.5224	19.4631	24.2425	22.0603	20.6728	21.6823	24.0482	19.9413	20.1096	12.3813	21.5947	19.613	22.6349	20.5457	19.9573	22.4716	20.883	19.9715	21.263	18.4703
