ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	UGT1A1_RNA	UGT2B4_RNA	UGT2B28_RNA	SLC35D1_RNA	UGT2B11_RNA	UGT2B17_RNA	UGT2B10_RNA	UGT3A1_RNA	UGT2B7_RNA	UGT2A3_RNA	UGT3A2_RNA	UGT2B15_RNA	UGDH_RNA	EXT2_RNA	UXS1_RNA	CHPF2_RNA	ALG5_RNA	HAS3_RNA	CHPF_RNA	CSGALNACT2_RNA	CHSY1_RNA	EXT1_RNA	B3GAT2_RNA	B3GAT3_RNA	CSGALNACT1_RNA	HAS2_RNA	CHSY3_RNA	HAS1_RNA	B3GAT1_RNA	Uridine 5'-diphosphate_upmeta	meta
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.88322960907451	9.30656192340355	5.55586230628359	7.19670388085556	5.81768140690065	5.78568166660901	8.71170878193028	4.71208786295562	8.2476022748988	8.32790287166953	3.40406451948421	6.5964236518886	10.5237405398079	7.36177381708184	6.61606054024691	6.46693248403403	5.65237247353844	5.74086045577486	5.98900671309401	6.83453071878211	6.66943087653504	9.076891169333	4.75009465641487	6.22924750871859	4.99756493533907	3.94721845919158	4.59194319082322	5.5433894242781	5.54575350060636	16.7893	17.4948
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.95256695699036	10.4833319514023	6.51443320501015	8.16171160330954	6.75683439970634	7.5644330673366	10.0469794807763	6.24642530700872	9.91621433635611	6.85683154938061	3.68327262670563	9.17861551753804	10.4595307906806	6.94794412254189	5.95960966706325	6.54983234916952	5.47844969011659	6.08413651416306	6.10995752545432	6.5667390855809	6.35137873654025	7.95441066693435	4.96852159177004	6.48652071786438	4.96454072958094	3.89888884068441	4.7954018326025	5.96925958051999	5.71254296840256	14.3777	14.8708
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.80922720004924	9.54244443906511	5.41747006360106	7.32212103294206	5.48344582387033	8.10253682957821	6.98205181874881	4.61340874167553	8.97974476912342	7.60200969631615	3.67870595571656	9.976799321289	10.3418833015449	6.61435062889825	6.19865501082709	6.29141833584115	5.27928949156097	6.12653106914409	6.38516650629696	6.70397552614185	6.23441250377684	8.7509831093947	4.93697562919022	6.38432961816314	5.12581292340967	4.08633290133738	5.05180979051408	6.09288205219102	6.38269178121973	10.1111	10.9936
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	8.93616002864583	10.9832088973949	6.28597650995537	9.28817556162515	6.03048737902474	9.15575973664196	9.7435843103129	4.56546198729018	9.83899483782534	6.55287589408439	3.37291217297	10.9715371467346	9.52026565010725	6.83007809523277	5.80333732756131	6.13089147799877	5.68816103989934	6.03291091027603	6.24790743385425	6.62986932178162	5.98008675281147	8.86420213442268	4.8646144094842	6.2312135385085	5.04235522513024	3.96045766142973	4.77964571041842	5.69897925327944	5.68457263441514	10.1111	10.9936
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.34367327211747	10.1643883444281	5.06677886315899	7.38958833537247	5.37796406007921	7.75239967030317	7.94273113541405	4.99499952094284	8.28194148311178	6.67572069841896	3.7510050817349	9.67022397868618	9.79817907172875	6.97933260144237	6.25266933889676	5.91529249963636	5.64262260270258	6.0682998326628	6.01023285895244	6.85373299660643	6.84718556506937	9.13474391292542	4.67795418081331	6.26726217713788	5.37904048598747	4.15201133918286	4.83291691153582	5.84104187188457	5.58842365929997	18.814	18.0683
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	9.69689440115942	10.9322321977984	6.97557913471454	9.42307001143135	7.06150864212347	9.5769218626345	11.1708010313698	6.38602028299187	10.4810487818186	4.41801300745913	3.55731010967495	11.4961301353138	10.2871519100638	7.1573885405637	6.01481502397943	6.20088767441829	5.68329576413609	5.7747472423634	5.66446643831252	6.82806239039405	5.84765382310667	8.02329903041309	4.84217857809602	5.91445223789645	5.23579091658517	3.70552787916017	5.07875323801273	5.8338621573202	5.50769697363596	15.9404	10.9936
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	8.78287953842777	11.8027576428997	6.66323938734184	7.69655328376203	6.88430375022168	10.2711350078011	10.2642721233299	5.79107599297501	10.0057895423016	4.86424332084129	3.9795832282447	12.0063629681295	11.0479541872327	6.89221380583949	6.23066428099104	6.01847824011254	5.31496072801881	6.12864743043511	6.28792710325574	6.53970161093925	5.87635257072004	8.94935489537736	4.72872826198724	6.07745835627352	4.82203360912489	4.07667515229887	4.82051963381564	5.81678340274	5.74708472676375	16.8504	10.9936
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.41995460613075	9.73016013806651	5.61289254487652	8.00547988418867	5.6725553207118	6.81039049719431	9.37510722714419	4.81442144269429	8.76618372617134	6.46533035425306	3.30101714822862	8.41696181965504	10.2377986056599	6.8189240018975	6.41320405760777	6.26700733665007	5.88515905010214	5.96807983793247	6.13700793579681	6.76416850791193	6.65533441675673	7.97074571031235	4.63035319481937	6.22691152958491	7.7504302533801	4.57212621518683	5.13712495751268	5.6599164046864	5.44197813224569	10.1111	10.9936
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	9.05002776614926	10.8926390090901	6.04477303804297	8.55773128786665	6.69408117655353	9.39339135431	9.17291212434412	6.19661485319951	9.02640102042909	8.15107812355221	3.38793335103013	11.1128227607146	11.6637569124286	7.45310095291412	6.40193468854317	6.4080088108042	5.44066002446706	5.80686836608451	5.65165514774709	7.1421496741958	7.19713327281312	10.242059184244	4.61737849895388	6.02128012854308	5.49867437922513	3.759545242333	4.80879947004207	5.42124010453212	6.27716895746683	14.8639	10.9936
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	8.91357289649574	10.2570250870497	6.15370698469095	7.67187622876986	7.18877266307045	6.96838676956786	10.0005085647039	7.67442342018655	9.70724215770791	4.48563100874074	4.10780128408763	8.12897232831388	10.993435237147	7.04571352878719	5.82161096682245	6.32612827095697	5.10910275764754	5.89336065322863	5.90879995804129	6.60446576566715	6.18249906430231	7.44280575690976	4.67928555611199	6.23386832416795	5.07801849771277	3.90097662416505	4.59312970747639	5.62695658133798	5.59913668923724	18.3131	17.3187
