ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A3_RNA	HNMT_RNA	MAOB_RNA	MAOA_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	Histamine_upmeta	meta
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.03911724492327	6.90082217820942	5.41290528367299	8.20015006608024	5.49612609344169	4.90509539984845	6.08155030490178	15.1305	14.8466
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.58456420552847	7.56090735745958	6.21087407470345	7.8770864875715	5.56760233290298	4.77599098148328	5.90452877766447	27.5477	21.8731
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.54474145624732	7.12344060298282	4.89239181932098	8.39728139592812	5.44175446288828	4.87321295556739	6.34844202484849	15.1305	14.8466
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.535033877135	7.16332555567389	5.20369092549084	7.93463804829718	5.25154520393686	4.68069233913125	6.28488809708614	25.4574	24.5576
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	9.68600781248034	7.04402972432652	5.59951889603627	8.65721668273937	5.30846057633749	4.772374797431	6.42290269330172	20.3362	14.8466
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	6.17545929428171	7.87457296081257	5.83672788637523	8.53999003671528	5.2146519847794	4.70721110678249	6.103102439712	23.0101	20.6756
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.81755011608072	6.66226036670759	5.54097508474309	6.96053089073164	5.21959356565644	4.60155746209497	6.02311010961642	19.0359	14.8466
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.35958729847467	6.35438208751542	5.41053303557985	7.86832978560386	5.06918969216134	4.7812334556954	6.27722134314788	20.9022	14.8466
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.24539283290486	7.83707912306211	5.13163778672205	7.98587237074925	5.18762598262417	5.55817996452989	6.1144134673929	21.8106	14.8771
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	6.59753142904402	7.20798204473096	5.39363796449435	7.92296997860743	5.23314882174751	4.8321023081004	6.56768243526152	20.3108	18.1477
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.99003843349735	7.04128821328451	5.15183530903077	7.9395595807187	5.75468359560608	5.20254890007076	6.54444957160778	23.7607	18
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	8.36570598128447	7.38287476069698	5.69280433612211	8.39628633816162	5.29974272832661	4.52039168815552	6.34185622598991	23.2936	18.376
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.84415679768251	6.16250235589531	5.20393940588033	6.124113385207	5.48156727249085	5.00114713979785	6.00475379864383	22.522	21.1393
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	8.68753826174503	7.14074691127863	5.58999177120628	8.06205340924566	5.14869997454316	4.45722976209716	5.91497622667895	24.1977	15.2525
