ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	FABP5_RNA	FABP4_RNA	FABP12_RNA	BAAT_RNA	FABP7_RNA	SLC27A4_RNA	CD36_RNA	FABP1_RNA	ABCA1_RNA	SLC27A3_RNA	SLC27A1_RNA	FABP2_RNA	FABP6_RNA	CEL_RNA	SLC27A6_RNA	LIPA_RNA	FABP9_RNA	ACOT6_RNA	FABP3_RNA	ACSBG1_RNA	ACSBG2_RNA	ACSL4_RNA	SLC27A2_RNA	ACSL6_RNA	ACSL5_RNA	ACSL1_RNA	ACSL3_RNA	meta
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.80674879099332	4.51858558028562	2.175942547281	12.0411647295165	2.7947137023897	7.21441260874283	5.24929184869293	9.89354975600186	8.82295794432672	6.08792576609429	6.19493429197531	2.34334847217352	4.85977997476305	5.44895281728064	2.99412262756998	6.34175758024368	2.86908696815304	3.14325046856576	4.7131974824107	4.8273414811986	3.68380518393204	4.99118918826507	10.6079528821943	4.12209856142264	7.14193925187442	9.85326369861953	7.31918346058188	13.5028
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.97578942642118	2.61874167705394	2.34678142269398	8.39961187538218	2.9308413965413	7.214444509818	4.03657657929619	11.3486835363884	8.76472468555236	6.44752139877174	6.15151250673942	2.34134105134937	4.95281683566131	5.23050267964373	3.12366593167208	6.23407424718409	2.86512271206377	3.31543419379486	4.52346892891693	4.80656889151477	3.69185776145865	9.29588464804663	6.61347345120797	4.60932795031474	8.04852287456463	9.30268121071156	8.75234166821819	13.5028
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.07843029935564	2.57221078507655	2.28008600889146	8.68444936532441	2.97653466167141	7.08218963675362	4.50789391197775	8.9619722195048	9.04595806113495	6.35689583468031	5.90032133089735	2.32571985533497	4.89285194452361	5.17064529655491	2.99729784039171	6.00050622050612	2.84067376360283	3.21485036316684	4.69769321391999	4.61531656623604	3.63376806033178	9.77651252277332	10.1588234812026	4.26510380642501	6.79968072428964	9.92515924798003	9.68667007844425	13.5028
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	4.68091299886158	2.6517846137941	2.31572285354339	9.51090514467912	2.88819128838966	7.07926269396226	3.66686322968993	7.90763768487919	7.89900649818756	6.54627729943239	6.20444246532738	2.34501824075626	4.88233935737476	5.44107362215145	3.11138779951137	6.28786131789697	2.84128779511261	3.36429767562989	4.68274643872662	4.82411355323228	3.79034811263081	10.7769531125953	8.23449954092193	4.32678103161665	8.93473123820715	8.60683938742811	8.54113065629727	16.9686
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.12204937437131	3.3372966820548	2.25990258197283	10.2896351907018	2.89628710635398	7.14601881589019	4.43044175878878	11.091447962292	7.99867080944316	6.7407282129716	6.11845995970057	2.29323834395558	4.9241915400345	5.30768378578281	2.97156098259573	6.90309737789066	2.73301530966858	3.10895731704621	4.83792344361314	4.83769802083834	3.64596029083952	9.69245920693648	10.1305126295053	4.3740274932966	8.08199648297702	9.33609820567781	7.89385855050529	13.5028
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.79687328329742	3.13779212241129	2.35440289343943	11.3998886169577	3.03975532774931	8.08054100937128	4.03517298770721	9.83523581522219	8.50780553479539	6.50966043670083	6.4358209480738	2.66808248751791	5.23450031095696	5.44420090206269	3.29828613617104	6.5465070792873	2.95297671888825	4.3236882549943	4.73562877445433	5.26833065223521	3.99565883228229	6.84032855266094	9.5986789780704	4.96384818411127	9.04985886349781	10.2159741001104	7.1240311236943	13.5028
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	4.57809273894737	2.96470633215828	2.36369957194386	11.166250222642	2.96049172886463	7.1637266368864	4.5434690330143	10.2885504135403	9.0781014662184	6.36770204263454	6.16840778820615	2.55050219404956	4.83703096740293	5.37205499775944	3.00252913893978	6.58938385387306	2.85654100733907	3.50087929252227	4.79795139348836	4.77435993501623	3.76970861189836	10.4257025941625	9.75693364298273	5.35977693485093	9.72640755420411	9.86935331014274	7.58963214130784	17.1134
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.39420472439496	2.76258984924904	2.6587976537862	5.7376271055155	3.29829779245743	6.91286676060948	4.25548978226948	8.59788249607408	9.03713163841232	6.15348962946773	6.3984244287666	2.72469712453591	5.29651223604366	5.45567427848613	3.45770160859185	6.4833684295835	3.08816448513799	3.48527242894022	5.5927767461822	5.21666351607124	3.93827650055167	9.54789145313601	6.3798661670936	4.30267425661406	7.18314213057729	8.10822640270219	8.74717922231772	13.5028
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	4.70873087121848	2.90352478916008	2.30446657887517	10.5698012648368	3.03834544740999	7.00111872862351	7.06638315589051	10.5903217247401	7.7511868251987	5.96773037086723	6.25059130260904	3.97885983525846	4.83060367399585	5.85322255524187	3.06435857734096	6.44684394473305	2.88360535892013	3.13870062311093	4.57544288131383	4.84861290212536	3.71826222621331	9.25282662893899	9.22869731629429	4.28245603358523	8.70613058145342	9.10002812286986	7.50709769480909	16.6813
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	4.66264340838799	2.68749322201752	2.21269038973417	9.30219020390413	2.90509027220117	6.93286002907497	4.50195923706844	7.53405850885912	7.20841998008886	7.11794734417774	5.83384389580942	2.40898860614249	4.84523367309306	5.12379119682653	2.96669611356846	5.82507644812869	2.77956305920523	3.38507184896427	5.78304478596492	4.60234098327562	3.5577886077658	10.0934097663742	9.27159785247068	4.30517577905277	7.7705165115343	8.91894047856886	8.0387452316425	13.5028
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.30400048325904	2.73998364871935	2.20569824670627	10.6420885657195	2.88197490723762	7.21124490940454	4.0737211688809	5.3498629396716	8.66460890711098	6.19714242593248	5.97892021666975	2.32221011195291	4.70460946078099	4.84792867406139	2.92327130399167	6.49531602811033	2.70155830394782	3.05482347645767	4.63490903603804	4.60169684299851	3.53806173972861	7.9459025437168	8.36790968790577	4.02991819833181	8.11249444122099	9.0086942866069	8.41337282016295	19.0875
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.81478339802256	2.94929923492775	2.29436506947467	11.3311578479209	2.88047691454983	6.81854217217774	4.73045405909751	10.4455063969712	8.42290926183645	6.26563364542047	5.96480134175107	2.31098963309143	4.91282728887094	5.15116807237565	3.05495853138093	6.57822006212603	2.86980794598199	2.89456009243663	4.68322188354276	4.90263397421844	3.71964703682628	9.22525021044791	9.33779398912012	4.24150839551847	8.61362643188973	9.51808989439804	8.09634202559855	16.871
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	4.73968878412459	3.06722572407868	2.2599433377205	10.5185284548021	3.04284977435104	7.15953985876071	6.34613750963704	10.4820056952333	8.45891798201022	7.22801299178752	6.31469733825285	2.55407766803234	4.99440639698656	5.39916153504561	3.11579800456261	6.22246543455067	2.80280994308552	3.77238875334082	4.41507302323476	4.9483870859332	3.77148664066591	10.5997426799935	9.87759288808674	4.32882192607002	7.73213191091844	9.48876391649737	8.23007156386635	13.5028
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.25084907883309	3.18462608379584	2.34309764238602	10.3228930975467	2.99109352484103	6.99650805113716	4.99950196602348	10.2148950379724	7.82856415605507	7.26174515950862	6.03657532069539	2.35320525653413	4.94611463657158	5.41371493301527	3.07335382671535	6.52913108836857	2.82137694494556	3.14687430423651	4.67960580315225	4.91047477129649	3.82726326331078	6.53626568801625	9.07586094406293	4.86514601176351	7.24202313727812	9.81144437394419	7.56802355506995	13.5028
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.29983743258492	2.77273370888705	2.39515274009569	8.8540341918325	2.84242222583253	6.95473917981748	4.4626759325948	11.5552015149339	8.83590456609814	6.30829093492062	5.93756378173073	2.54925063211067	4.72490091059227	5.15631157035382	2.94910059897007	6.37851168372232	2.79916079880633	2.96640617349458	5.03554891567953	4.76667120428635	3.49668532858526	10.300659651053	8.4722757923128	4.06069850670548	7.67739226052871	8.68870564887847	9.19122150959731	13.5028
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	4.64172578148283	2.70908301647299	2.3692229352641	11.1548001333436	2.86129540389844	6.88806056598094	3.96802365021951	11.4595674397209	8.4533691434591	6.39026290214695	6.0186470438795	2.32478471034482	4.86699247506463	5.32308236549136	2.97846391402886	6.28327494691768	2.80368829095984	2.77079030605838	4.50448757815253	4.80969432220818	3.67939501027499	8.84971568213617	8.60975349722971	4.16123426429607	8.36880025473755	9.19580652313463	8.02954058627038	23.7555
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.81973204428263	2.98533518168976	2.38472841136493	11.1372498713781	3.08254135422622	7.08582984323874	4.70313523231804	11.2194013031045	8.93225674181858	6.7861972119625	6.37857008558954	2.54647702434281	5.17409315888766	5.31479010187667	3.21980676267814	5.92481153670031	2.84349683221251	3.48063929461168	4.82752395860813	4.9153445922714	3.85053591002084	5.68901228962049	9.7242104513009	4.3773079588764	8.80373076582629	10.2447947292633	7.01715812942362	13.5028
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	4.73970612463332	3.00645018572279	2.41745833103898	11.4805434862587	2.85723695844399	6.75377556701484	4.83267661599823	10.7864759196129	9.23867494862987	6.24841667881864	6.11832736172862	2.64607886607747	4.86546117521388	5.34476112650069	2.97561437615918	5.8654479963068	2.98145989213171	3.25441263424906	4.63906956836581	4.80781192070979	3.71521561401561	8.31379160821903	7.99178807950051	4.60680020724249	9.11696349888438	9.2442948163034	8.199265000278	13.5028
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	4.88123667591089	2.99066228973219	2.3080497069692	10.7217862087597	2.93248239955815	6.42891215302363	5.10213726503167	11.5182513275242	9.16201325503816	6.67132491893312	5.97024851367393	2.40285163363504	4.93291642031066	5.32680157217247	3.02772746357243	6.56015429766954	2.78466015811879	2.96041462206753	4.98124993110584	4.93977228828672	3.75619897571411	10.528240311199	10.0795348032366	4.35793500058353	8.02453045736388	9.40223770037874	7.93164302695057	16.5403
