ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ATG9B_RNA	TXNRD1_RNA	TXNRD2_RNA	SLC3A2_RNA	SLC3A1_RNA	SLC7A6_RNA	SLC7A11_RNA	SLC7A9_RNA	CTH_RNA	meta
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.7487397229849	6.93954268490757	6.72711636746867	7.96952958222623	4.09781661266287	5.9621236408619	5.4597512823727	6.75555966504555	4.476873096665	23.6977
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.55511426037146	7.32161247766659	6.31841876705702	8.02766773281268	4.40668326010159	4.91704566903751	3.8372932046294	6.24227780845097	9.58342486369737	14.5715
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.4728463174943	6.79813916397744	6.44532157398504	8.59340853609129	4.34647457933615	5.57600116527368	4.0717292846465	6.64072258865752	5.13953537234433	14.5715
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.42119243251999	8.24417249638707	6.06198713864604	8.57657221047627	3.82166141043316	6.65251021472448	7.93936003502078	6.64036031974502	10.4222729853821	14.5715
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.40301675698357	9.0495059914986	6.25108120292319	9.64494038504732	4.01443661365434	5.61834515344416	6.14045846250836	7.32560232741346	8.45530476511695	14.5715
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.34936355047615	7.39180416114	6.26496810420606	9.00107871413076	4.14411088802887	6.60104821161396	8.0601584181675	5.93401135325568	7.93703416103156	22.2368
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.23476044303788	8.98328451358989	6.1639519289884	8.63433840541851	4.66842752876416	6.54115734055791	7.6841523840582	7.1132422749759	6.11511789242135	21.7719
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.46928015885374	7.67079932422522	6.42262597573496	8.57563631085537	3.95672433488218	6.17825343166231	3.73472744162274	7.06858174486279	7.24836337402878	14.5715
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.46674108187914	7.50627436047398	6.5495485381661	8.36844059419182	6.51231696142914	5.79390756224873	5.52928203758159	6.64086487389508	9.81886159505526	20.4088
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.66554871995239	7.30446671796717	6.41360220788646	9.4906213756248	4.18956756392922	5.72960682534191	5.59049182454423	7.22718999624954	7.9080545063684	16.7607
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.3611777944323	7.42102349057734	6.54549436883204	8.40203059155617	4.25276952854621	6.05674721727905	3.67070296784026	7.1382470443396	9.07758064470427	20.3781
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.71232464940422	7.85915004001191	6.34352911958578	8.55935841253955	4.03459428636696	6.87106841045645	7.37441111481742	5.14395229334651	5.06113819149479	19.6516
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.39979621568865	8.29084738774789	6.40763277299614	8.54843489780382	4.07989757306986	6.81204373480014	6.76523337758097	6.35641985896199	6.79026540240528	22.8347
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.24001710768969	7.39323219330413	6.33121970010719	8.51529107544301	4.13097773196871	5.74936969000915	3.59797109847078	7.20964667086057	7.77679633382245	23.8931
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.19260617410352	8.25702298186441	6.10922769118041	8.83657333783298	4.0615813771622	7.17110891886642	7.21807522390173	5.3970983248972	5.31812134226971	21.7549
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.40464941396958	7.73864611680412	6.43753140505567	8.27582961256958	4.13464667967579	6.25040157700401	5.7323167624295	7.05198536703427	10.4336484073077	21.938
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.50942454872174	8.24554064343705	6.45644224976408	7.89450514157067	8.21989309730604	5.61164534376037	5.47288789472369	7.39031138145618	7.76939934352115	16.8222
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.42037823328639	8.40385923347922	6.70207835446158	7.73278037363678	6.19188250546939	5.47820029965373	5.31702133213516	6.35077631832415	5.94337696712475	24.526
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.23240530723188	7.91982075823715	6.35476126405744	8.62093563824722	4.26829564016595	5.74795225484792	6.36617293396618	7.53901972786085	6.18370228872935	23.0936
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.41733571899482	7.45865381252841	6.08890111150716	9.19365460560803	4.11511248391366	5.64877368870823	7.1599029550923	8.4417594017114	7.61560459605997	23.0046
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.58604695125203	6.73665239098238	6.54734770981979	8.63760729660493	5.56812988674979	5.30043423107598	3.50400779290794	6.76627273369677	8.24028102244935	20.7955
