ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1A2_RNA	SLC22A3_RNA	SLCO1B3_RNA	SLC22A1_RNA	SLC22A2_RNA	HDC_RNA	SLC18A1_RNA	DDC_RNA	SLC18A2_RNA	HNMT_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	meta
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.73461780685269	7.65825055368544	10.2877970227773	5.77195064253497	3.27333845317958	4.27526269808483	3.96894090566372	7.05682846338445	4.39862390798964	6.67438051335441	5.18610743073086	4.6613625942868	6.06584887544612	20.6136
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	3.10137440505288	8.03911724492327	9.67101503064689	7.07348615235075	3.38134231166621	4.63845151129767	4.19212627199714	6.4989284138756	4.6597669398239	6.90082217820942	5.49612609344169	4.90509539984845	6.08155030490178	15.1305
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	3.05944594257748	7.58456420552847	6.37530585776127	6.14165811891265	3.45604328725902	4.72942524674163	4.16574712010384	5.63174987087202	4.70415360056389	7.56090735745958	5.56760233290298	4.77599098148328	5.90452877766447	27.5477
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.12956976751526	7.54474145624732	4.64595860855815	11.3498754748272	3.54392059425002	4.48134446452515	4.07244966432853	6.25596591707752	4.57607277344699	7.12344060298282	5.44175446288828	4.87321295556739	6.34844202484849	15.1305
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	2.93509877915464	7.535033877135	9.66466366098125	7.51648937664649	3.28815175174066	4.57946380494355	3.99055727680494	6.43148338638466	4.56824855514083	7.16332555567389	5.25154520393686	4.68069233913125	6.28488809708614	25.4574
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.00438315136364	9.68600781248034	11.5631269790842	9.65224408304164	3.27786482360985	4.4434321031968	4.08942726092688	6.88757033871755	4.47312963607006	7.04402972432652	5.30846057633749	4.772374797431	6.42290269330172	20.3362
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.25133194369037	6.17545929428171	4.04053995255181	8.49041632867917	3.35750350676499	4.33784975882923	3.97171767149809	6.88066933614113	4.39968783431545	7.87457296081257	5.2146519847794	4.70721110678249	6.103102439712	23.0101
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.05376156470113	6.81755011608072	4.32598892653911	5.54063058617892	3.23421960802683	4.26653490306161	3.98767346244948	6.13043455127922	4.37493227320495	6.66226036670759	5.21959356565644	4.60155746209497	6.02311010961642	19.0359
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.09252886829183	8.35958729847467	5.94384687784557	8.42167450179457	3.22364868698068	4.35591680093527	3.94092601470232	5.90061064398767	4.44539349739065	6.35438208751542	5.06918969216134	4.7812334556954	6.27722134314788	20.9022
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	2.92139701227012	7.24539283290486	9.82169445348869	6.28919704931809	3.3059068286793	4.48597925656987	4.00396297303927	6.73613142446073	4.48182004902797	7.83707912306211	5.18762598262417	5.55817996452989	6.1144134673929	21.8106
