ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	PLPP3_RNA	LPIN1_RNA	PLPPR4_RNA	LPIN2_RNA	FAAH_RNA	LPIN3_RNA	PLPPR3_RNA	PLPP2_RNA	PLPP4_RNA	PLPP5_RNA	PLPPR2_RNA	PLPP1_RNA	PTGS1_RNA	PTGS2_RNA	meta
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	8.32190931789582	6.41548775420966	3.7807709459044	7.50500454678822	5.84689958818704	5.85272479709126	5.5436877811114	9.12315509142483	5.22280472793985	7.09953366879971	6.86677155900843	8.28342678257157	5.77487285804655	4.37557343747563	18.898
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	9.22412876691543	6.41891387271253	3.75488204609073	9.51925134810567	5.90314952855912	6.05931212374394	5.84262384770047	6.16937299729667	5.06841330865236	6.36381715002721	6.43594506764049	8.70708501476302	5.1642463165318	4.06791076019727	18.0904
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.3316312056142	6.0730089864391	3.84964617847029	8.9296882319986	6.13916346652082	6.05028201263653	5.85438515626999	6.49277089141882	5.25466565083649	6.38115159371365	6.87689000219569	8.01290927994307	5.04646056966181	3.83748141298718	18.9037
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	8.23524699508373	6.66748266083208	3.74315556840998	9.08734766259776	5.87452377392799	6.22669074995131	5.97433789286081	6.53666562481094	5.20501590837296	6.2693937978186	6.76880526363444	7.3905668100833	5.129064170057	3.680803515406	16.2072
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	8.33021302679933	6.65524839760096	3.72010282443805	8.07967656492338	5.72446347209371	6.06231320758365	5.87573536936334	6.42508775572658	5.14025738183389	6.14358080705222	6.4297314786333	7.76650404874292	5.16762024103089	4.29343440809111	17.6387
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.967760191827	6.28226590004285	3.60605498039824	9.42300202163269	6.53227072559755	6.50750412434188	5.9593285039371	7.31663078188234	5.14871704994943	7.84937304223704	6.52785389917523	8.17045752590117	4.93780502433561	3.64597777239658	17.101
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	9.21312929898416	6.73031557427173	3.63322465784333	9.54613092197341	6.80285025369049	6.46116187035046	5.96483888453253	6.35106080241007	5.52989695300239	6.62935831341896	6.6807065608851	7.6035457557854	5.48284342558802	5.18993820549205	19.8089
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.76843937708835	7.50973305798864	3.49277190077099	8.60329919291752	5.85260921699953	6.5124329320011	5.76647335957277	5.80200233555154	5.03730559892866	7.08381818966027	6.67758457322274	8.88577257324501	5.04438427414147	3.66201191930175	18.5297
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	8.70719046975714	6.74496443351912	3.66571192084258	9.35456545560596	6.0491672349743	6.16948048557791	5.82472995225627	5.88356907252845	5.10330849481006	6.25610650249506	6.55845272483265	8.42577782325923	5.1882708451464	4.27687454248677	18.489
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.83737405294933	6.43464870795127	3.545056412525	8.38372191779041	6.53418724174167	6.38242334813648	5.87860358101902	9.15151504722096	5.3795689591095	7.95172622912396	6.62251955582983	8.05965655415469	5.32972491659739	3.93340159782935	17.266
