ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A6_RNA	SLC22A8_RNA	KYAT3_RNA	KYAT1_RNA	AADAT_RNA	meta
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.56631289813761	4.88349916482734	6.35150657564716	6.32337922751378	6.51106643302706	15.9534
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.62060579708478	4.9831061222775	6.44277845619533	6.17080984759337	7.19740815605574	15.8282
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.47167393017962	4.8512570439708	6.26350872601799	6.24472519012835	5.93232032191202	16.0743
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	5.47688482440283	4.78833229563241	6.99582751413016	6.39454018859429	5.0467644429448	16.741
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.5961930341463	4.89527217629005	6.4114885690812	6.16467035292936	5.35832535760667	14.8522
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.3012579184621	4.70971038945952	5.95010747379115	6.01061887302109	4.99102827860913	14.8833
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.66037574816855	4.83776579400421	6.26429282084444	6.3520145844893	5.70169402677424	15.3739
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.79584717900842	5.09167656510724	6.25256804640907	6.23328621663168	5.12138097026369	11.5314
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.43457753597121	4.95222941298467	6.17055715777693	6.10129518763901	5.19292859404245	16.8522
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	5.25031142291196	4.68941997598594	6.4206138532479	6.09206156169002	5.12373250496032	16.4627
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.425304588955	4.79135045255638	5.82161915098079	5.91171740344859	5.09622986161106	14.4504
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.50197536723247	4.82169351111793	6.23041826113949	6.56997817670413	5.8484184084175	11.5314
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.33802698373236	4.78780979638251	5.73868397555735	5.74409895588951	6.29535032207142	11.5314
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	5.53344123836617	4.87704618685837	6.52453603787242	6.09568287959573	6.76107503674798	15.5286
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	5.46259442275352	4.84043263515013	6.50451061357935	6.06685032975106	5.91525883690324	11.5314
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	5.48013397750216	4.93816480957538	6.11357003340813	5.65123129438943	7.02306732201707	15.6135
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	5.49372172269294	4.69906063116233	6.09224092515118	6.31381910097599	7.11773951047431	15.4031
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	5.29091055169441	4.56019952101784	6.28344731273297	6.36926329426189	6.9100900198378	11.5314
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	5.4771781003914	4.847472181749	6.32800892149522	6.52110027883966	6.11433493193118	17.2071
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	5.68640720968177	5.0717159625503	6.1862602415051	6.01950622478331	7.10295365644325	11.5314
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	5.67069696515287	4.92643439463729	6.23906736028731	6.31072830089341	6.28094496857221	14.4514
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	5.65925782799979	5.07926391765167	5.41412645880138	6.02157462873516	5.82639560428827	12.7469
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	5.38110632638836	4.73617830223616	5.76275790660197	6.08921749475827	5.478876150299	11.5314
