ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GOT1_RNA	GOT2_RNA	TAT_RNA	MPC1_RNA	SLC16A7_RNA	SLC16A3_RNA	MPC2_RNA	SLC16A1_RNA	HPD_RNA	MIF_RNA	meta
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	8.47162600862178	8.50714607880506	5.70147339112111	7.55488671273623	5.77913435119407	6.44810320467874	9.38189849761125	6.79687875841572	6.14175132413522	9.21880558522463	11.4661
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.84805787843396	8.58166352920125	11.2812255040375	7.87987679663555	6.36687578704901	6.74762549579642	9.07145284745318	6.8696125727297	9.15107385221603	9.03397292735831	15.9954
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	8.51736908518181	8.80049631402522	8.54222350097819	6.99544298986785	6.58240628663789	6.54622241772812	9.43000568000671	5.53033917221522	6.81970190175788	8.98184125750023	16.6882
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.44966152559104	8.63795957526485	11.2689290357054	8.55596324583198	4.73926737408412	6.32101104665257	9.78915612317394	6.27587597499888	11.4326953399536	8.17633462033409	11.4661
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	8.93901058580841	8.11751728470512	7.36382375056069	8.32456604491937	5.43131573820028	6.34258084190745	10.0013592074998	5.75496394227398	9.46818479214483	8.46123616996486	11.4661
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	8.89847577316705	9.7181811891831	12.4169862674937	7.10341677004882	6.5412881862268	5.97696387986785	9.27164541102003	7.75399096600336	11.9609316195686	6.70658825867709	15.4993
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	9.98667182364576	9.27091978225424	12.6824248022965	8.1882043451289	4.63905635410745	6.21663973802544	10.0698373997976	5.9929176878691	11.741363842124	7.84457236703056	15.7826
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	9.76118362772465	8.78203365824117	10.690357425404	7.75506378897109	6.01240729011262	6.3299924625807	7.9585142755613	6.57126826766695	10.1798661831556	9.26679848684103	11.4661
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.75483350420399	8.62778218058885	7.05429996756196	8.12392467762852	7.10865367689494	6.27871342709306	10.2243757435272	7.38547980877271	7.75911402533397	8.77413367373005	16.6854
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	10.1199803797107	9.24026650079707	11.2389885835692	8.14107506858128	6.07130887573878	6.18303772793991	9.03925056028014	6.92441786622077	10.0079386534512	7.45131756687174	11.4661
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	10.4024893995052	8.38367099673623	11.3751406834851	8.3451076924215	5.6613570149095	6.17857073988952	9.4261944149001	6.79645587797389	10.9346996227834	8.64149110646317	11.4661
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	8.98215639850558	9.20247827309897	11.9228308557191	7.99007324586134	4.88074985073444	6.50535061991155	8.73581959868896	6.91656049700993	11.7244338022498	8.60548612656947	11.4661
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	10.1916589574554	9.03416370879008	10.8808723712379	8.27312910592165	6.88745999018249	5.90319239069519	10.0098402921203	6.91168680653759	11.7499504979956	8.28636991582608	14.6061
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	8.10032966768602	7.31330304457582	8.35681841152722	7.66643038583525	5.54983507037026	7.06264640988292	8.0658230307328	6.36223487618031	6.32913601442497	7.9257177518277	20.2574
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.55264146689533	8.78299336283386	6.0259997470558	7.3269531175719	7.73165521672894	6.18730244028813	9.72660243207222	6.62020997036729	11.6809934692312	8.89798025152157	16.2107
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	9.01022256290934	8.74755325249739	9.50493021058147	7.60008170381098	5.55763598202556	6.11503213787658	10.0274877715188	6.62021323633568	8.32818072284017	9.53609077018152	16.3828
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.48697730733809	8.26729192201048	4.81733007954311	6.44840428675742	6.8181790526612	6.1468134494457	9.38845676234476	6.47077483285124	4.91964993295774	7.16014272249625	17.3028
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	9.98417845594784	8.9497208449022	11.0230342999316	7.5760666314067	6.32369177572643	6.31480091846262	9.73916058785279	7.05722996337435	10.1226272079511	8.10234675226605	17.0427
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	9.95739236836445	9.41580286585075	11.2061795353022	8.29989159390111	7.04051545241942	6.32282112773087	9.55772820377927	6.47615021013338	11.2558172981389	8.30675532251672	15.784
