ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLCO1A2_RNA	ABCC3_RNA	SLC10A2_RNA	ABCC11_RNA	BAAT_RNA	SLC10A1_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.04053995255181	3.25133194369037	9.36429572937423	2.98921650347206	5.36634123304961	12.0411647295165	11.1364489883453	9.28310649411615	9.73546553844584	18.3464
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.32598892653911	3.05376156470113	8.12877143895036	3.07416789874873	4.84082252345888	8.39961187538218	8.64661262043103	7.71201344942243	7.63207045372916	12.6202
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.94384687784557	3.09252886829183	9.42360430179768	3.05179471127339	4.82636860427176	8.68444936532441	8.587601872115	8.9195209203424	8.78241472346257	16.4596
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	9.82169445348869	2.92139701227012	8.31596521827793	3.12442380409481	5.20729433230977	9.51090514467912	8.86753651921744	7.7902533324527	8.59089341550121	12.6202
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.697825599747	2.89430328424762	8.82297935190375	3.07671508994144	4.76452419629149	10.2896351907018	9.47914393962727	8.77441991673501	8.77603694888943	16.1027
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.45313697790127	3.40390287706075	9.14068876202613	3.45599130358721	5.84017790514966	11.3998886169577	11.0177538969715	9.56148830034127	9.4700706963204	20.3368
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	10.320032701607	3.12430647525306	7.6889242124756	3.09740492701643	4.78375869560082	11.166250222642	9.88331526767371	10.0147422241252	9.97972321526685	19.7675
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.92265371056634	3.75454253722948	6.47853980857876	3.38203302320897	4.78454949406998	5.7376271055155	5.32151345180415	5.33407467055419	3.76292083550707	12.6202
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	11.0987148553286	3.50915012995151	7.18794642274656	3.18845821069807	4.62047162117005	10.5698012648368	7.53979866869155	9.38968964454956	8.6376242891116	20.8024
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.96686254622286	3.26813299782395	7.62480157454398	3.02311573890338	5.71499598283571	9.30219020390413	9.33782536266979	8.34525446640096	8.37991827466955	18.6055
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	9.51867872331892	2.85436947191863	8.05117859690093	3.00679569522934	4.36057759354624	10.6420885657195	4.5761995189102	3.57226983744763	6.77958001232024	12.6202
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.33871603634212	2.99111062222455	7.92559920772548	3.1064448923012	4.865219802631	11.3311578479209	9.40853160756176	8.72214236126754	8.90356115131628	12.6202
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	10.0984087494383	3.05524954372549	8.7993270882437	3.10857297610176	5.17515872102962	10.5185284548021	10.0474739066271	9.52576401289065	8.32549563250935	18.4417
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.89718500312746	3.28508277742388	9.44708900698298	3.11740452565225	4.79957002042793	10.3228930975467	8.73928578016055	7.14271836991087	7.98853110574515	16.9314
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	9.39382194757796	4.72051467988921	7.55420401784208	3.06180836877748	4.42207398395573	8.8540341918325	5.64370756959056	7.51506204370739	7.70378934512011	12.6202
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.55333711148641	3.43607417406944	6.69298147675521	2.93666502481406	5.03263823728962	11.1548001333436	10.8613702129259	8.75925029360887	8.53597533979016	22.3092
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	10.4843302836042	3.62200476542796	8.75549782452894	3.16784535810604	5.32896874362346	11.1372498713781	10.6454754330494	9.27877053260623	10.0747200175554	19.9575
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	10.1075242040216	3.24831687456879	8.95194838259633	3.14686725070044	4.87400171780613	11.4805434862587	9.73967210550957	10.1729684728815	9.7989685054011	19.0236
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	10.2569118867677	3.03310218906553	7.48393068900129	3.12806137899273	4.72411583327764	10.7217862087597	7.26909113066837	8.93339170708126	9.45157710611334	12.6202
