ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCB1_RNA	ABCC3_RNA	CYP2E1_RNA	UGT1A1_RNA	CYP2A6_RNA	SULT1A1_RNA	meta
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	6.54383724569878	9.44708900698298	5.1655553894802	9.11560028330075	5.92436202336585	7.71382506096634	21.2792
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.49090834055775	7.55420401784208	10.0061785823003	7.90458659045689	5.29859692914173	6.12050228767845	11.7181
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	9.04558826652916	6.69298147675521	10.9137436163942	8.34898160430941	10.6796764425158	6.05176643139913	11.7181
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.17765480473332	8.75549782452894	11.4113748399359	8.85284839268412	10.1220873977097	7.39489582815567	11.7181
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.04845995818765	8.95194838259633	10.6981691400845	9.45078362166947	7.87415837065141	6.74129345025073	24.7101
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.94150165896698	7.48393068900129	11.4293109087214	8.11742872065616	7.66030840388907	6.38062151371561	19.8522
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.04596844330648	8.3977795912852	7.82646329022129	6.02347692337948	5.10603644827832	6.34695568295855	16.6043
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	4.15549040570223	8.02880137686324	11.3089378376436	6.85398199742236	5.33274802014755	6.26306454475374	17.7373
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	7.58322684703876	8.35328435761667	10.9830838220626	8.31757816391072	6.14387876487773	6.77808568501639	11.7181
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.11268171365995	8.94323565799483	8.35629103981125	8.44692371777232	8.35269823620365	7.63086561717926	16.6135
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	7.11636427120489	8.47785692067962	5.90645043596252	6.81160356937619	8.28839401315063	6.60025755763001	11.7181
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.90004933230166	8.00105796031388	9.79700814154701	8.36426887637143	7.16822707572626	7.05592012944251	24.1302
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.73901388724664	7.73759740040282	11.3157302017112	7.83115698208895	6.21729461495857	6.45016606718088	18.3735
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.11748335957839	8.00096202881175	11.7526735069374	8.35562938875046	6.38176114306138	6.67915649235793	11.7181
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	7.90813954209994	9.30454956469756	5.83908452697306	5.14402684688217	5.32858762919472	5.79574353896222	29.03
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.6995964738427	8.90847774860936	11.4890119323735	10.1563715197271	9.84433038194187	7.32250893855009	11.7181
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	8.42692436102683	8.40153304989108	11.0505003949944	8.20706398354617	5.7757003210996	6.2557982525392	11.7181
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.20180973224366	8.68125185607036	11.4911442318503	8.7582568222406	8.72719003904502	6.90871373195781	11.7181
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	7.42259156058343	8.64032113852238	10.1975989568868	8.0227377544403	10.8679746179809	7.1349835380751	16.3309
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	8.26951886356723	9.19021605619357	10.8256689615525	9.29562757299464	11.3603294992398	6.2896155511021	16.2027
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.19165268328515	8.87029475053023	10.4885148823497	8.83051693465555	10.0072773887678	6.22935336308523	11.7181
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	6.85460734890307	8.3450878810457	11.2061384865508	8.57946429585763	9.79902335917909	7.60462083148709	11.7181
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.70465254165728	8.48421187864381	10.3173388398602	8.47595804456202	8.20393834294911	6.69331031123507	18.5183
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	5.16231068762613	8.80451370168596	10.3573711193586	7.61305723508298	6.32180045825752	6.38073439572489	19.0087
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	6.66818428666711	9.49806093159449	5.03004299454615	9.80616301372684	5.00083057299424	6.83186334617287	18.9855
