ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NMRK2_RNA	NUDT12_RNA	NMRK1_RNA	NAMPT_RNA	NT5C1A_RNA	ACP3_RNA	NT5C1B_RNA	NT5C2_RNA	NT5E_RNA	NMNAT1_RNA	NT5M_RNA	NT5C_RNA	NT5C3A_RNA	NT5C3B_RNA	NMNAT2_RNA	NMNAT3_RNA	meta
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.08966026800792	3.32739411027008	5.82462598994005	8.09741542987847	4.84859987391523	2.98999448824213	3.32666349780217	7.40473800864871	9.48038344059431	5.63322465465768	5.48074122201433	6.35085199227927	6.08340741480165	7.50169952546527	4.68692779473545	4.84898487543092	22.8894
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.18570008460932	5.88081455674352	4.85411463436277	6.25494087731438	5.08346375448987	3.06844582901995	3.37629983410129	7.58813508782175	9.6843158970636	5.51224505867223	5.69968126853963	6.05815272195603	5.1885632887508	7.628202599558	5.13378534462688	5.12986175786748	16.8614
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.24567640704495	4.81713811236701	5.36115232974414	8.15684670293677	5.24355566117269	3.01107078104351	3.44797857181505	7.73389803958972	7.21926685260414	5.62574296936117	5.679573301674	6.06361604974273	5.33052682060504	7.65728743903871	4.85704557067472	4.93344243925025	21.9803
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.43376412169001	5.84300495988517	5.57629733575988	7.77028358350552	5.45303169700559	3.24171114814216	3.55881424293303	7.3899345850789	8.19690904865958	5.873358278165	6.03341491506386	5.94992425689937	4.58300443733117	7.33011601487707	5.09145642418392	5.30657597050365	21.7052
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.0838573605758	5.64060901769822	5.68447752387528	7.43858304792394	5.02823742042818	3.13343209122402	3.42212873578328	7.57118638105953	8.4914286713288	5.54999316007946	5.5646453730163	5.93207336712922	5.66359113535769	7.42853438342586	4.83543016124662	5.26332067527931	20.437
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.53502210336257	4.38960139153513	4.51272892135405	8.43894736141769	5.51845092488109	3.73613648686591	3.51641950581035	7.69947425833298	7.90244583540657	6.07017869898397	5.87387479223593	6.71629608968188	6.34973581637438	6.83044977384633	5.00532652386075	4.57522730323849	15.4446
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.32062091019105	5.15810051219717	6.28431159901701	8.74084819341217	5.07179429000452	3.06535560725586	3.49816506748506	7.65072693276101	7.14986375200595	5.97408096413839	5.8519846359169	5.98178911403676	5.20099082692157	7.98228797583003	4.79911064804892	5.24278166969534	21.3073
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.14205101843264	6.51285350614495	6.63005405710289	7.3529595097249	4.87394768353348	2.96877572747703	3.33553688970332	7.44154228655827	6.95709986575799	5.51649177771346	5.56223350924921	6.0486245459455	5.19282524661154	7.70617552960847	4.69558105836068	4.94514420231532	21.453
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	4.96445375244704	5.90248171007353	4.93836410544069	8.43694301096179	4.91215591249173	3.17061443515945	3.31943570369827	7.86817333765081	7.41598435184451	5.52649852365331	5.38162256264477	6.91083082228115	5.72500136920397	7.35390486522816	4.65873964329656	5.53853937628119	15.5646
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.23883719149371	5.60677061508484	6.038175793987	10.0532453754776	5.08221299525499	3.1655933079096	3.36748336507363	7.80875829327496	7.96786428392651	5.91557842825327	5.78288768113287	6.08374246310365	5.80381058688161	7.43921991636728	4.86877131200105	4.82829868912228	21.2146
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.31705157042504	5.70685191523629	6.92011119840763	7.37161551704667	5.35619966815547	3.10594011185363	3.459967937694	7.44539967772417	8.78753725874792	5.95895045504835	5.76155989278488	5.97281897267056	5.20103072818929	7.75638931936743	4.99567053021406	5.32111026304084	21.4434
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.33349993556084	6.243837707027	5.95483933197935	7.24115964410078	5.15807619599467	3.01704452787587	3.49055075927993	7.08958373965049	7.44014728502234	5.87332530907864	6.01311544654414	6.36964072734201	5.77137813045327	8.28312908048816	4.93066730694397	5.2252195663438	22.5448
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.1500802852844	5.58064264269701	5.34052031973756	7.23130178925616	5.03264143627036	2.98015931863178	3.40303567192391	7.95820212398941	8.35412981185293	5.93476512416018	5.56607021412154	6.51532953290767	5.19226918115819	8.11637865721541	4.66799211838971	4.87844531971797	19.4193
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.21957885442468	6.52841365295666	5.42901289378618	8.24590885873369	5.33127466462079	2.91664049883574	3.45480902239994	7.72593618352497	7.67489830689346	5.95191429659838	5.69296962302347	6.08037006461502	6.11533210976059	8.82013284305416	4.93877023019118	4.80151330510532	18.6306
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.40515505640438	5.66073513828615	7.07544462989091	8.24467658132052	5.21892106325198	3.13277930074196	3.52015041615702	7.32493070133572	8.10815967826141	5.82067407641334	5.8465445558785	6.17247852569866	4.85185213406374	7.48182369019935	4.98760448873682	4.968667609171	20.8158
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.16616196181338	6.13444679021287	6.39129821082418	8.40780240192883	5.1092391038603	3.036992329896	3.37933212977114	7.61697172007723	9.11195217410748	5.75153209893073	5.65767395977909	5.84197577168526	6.12133832275866	7.84622884323169	4.73328341398621	5.16661794695401	22.0971
