ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCB4_RNA	ATP8B1_RNA	ATP10A_RNA	ATP8B2_RNA	ABCA1_RNA	meta
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	8.55041441822073	6.90188263286064	3.21661893590247	5.77272988580945	8.93225674181858	24.5372
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.67640173033945	6.98798040881188	2.80432292643395	5.24334168018543	9.23867494862987	27.6273
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.17984346654143	7.04757671506526	2.89307577835469	6.08697844921242	9.16201325503816	26.951
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.25898831986258	7.07960418770883	3.20685124381793	6.10201522699895	8.11697273042751	24.4198
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	4.93837131982625	8.19109402245966	2.78864300145587	5.56191859412421	8.54135993740912	23.7207
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	9.53914767070481	6.99638334303465	3.15853319085426	6.23991248955311	8.04272899342144	24.6265
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.6155795494041	9.18023158364758	3.62567919419261	5.71496362501399	7.81235629046803	25.6231
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	8.35307812154951	8.66698465102121	3.02791913465755	5.37921609586016	8.35216284870129	24.4058
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	7.98346294982751	7.93248859017788	2.85539923380836	6.37997150651733	9.15509740167759	25.5134
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.59588873723322	8.07178302916694	2.74878604187883	6.14764898858783	8.60848681203821	26.378
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.79782306624933	6.69734360467313	2.88274366673615	6.31186985159372	9.16073531876781	24.253
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.8726133194967	5.40925297178982	3.11339330487254	5.61461482133856	8.04118819587389	26.2788
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	9.49650355357933	7.76098785514214	3.03825003464733	5.82345818303457	8.47425507335034	22.9078
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.47132154262346	7.49776378825103	3.00946884776955	5.55451553148308	9.83785736940204	27.2937
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	9.62270143960439	7.18355596511925	3.31202337962156	5.89457023378087	8.70188819111575	20.0374
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	9.94382126818161	8.12053414282532	3.29141940311208	5.66422283779392	8.40261195373557	23.279
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	8.71125579974407	8.65101071192988	2.93500268153512	5.75712361143679	9.38112586688898	25.1035
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	9.29031135518932	7.45588317541496	3.0098670354178	5.24627103019666	8.64652032243623	23.3211
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	8.06188141210032	6.24125413555457	3.83477919341202	5.86667944605948	9.21504293359161	24.7568
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	8.08374611630292	7.18596078800316	3.57737776992989	6.432094641391	8.68778249024557	22.374
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.28974741114795	7.54486515804975	3.53031100495032	6.06681096360604	8.14333017738341	24.8664
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	5.364439406427	8.98644831253499	2.84253380672	6.0669203176665	8.11534600378561	27.0925
