ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GAD1_RNA	GAD2_RNA	CSAD_RNA	ADO_RNA	FMO1_RNA	NADH_upmeta	meta
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	4.11727534222791	3.11164010220015	6.71588837373854	5.92634273446442	3.88298970136032	12.2883	19.6288
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.16479503201834	3.13594395664834	7.27404188855609	6.26061534179496	3.93127147645898	17.47	18.9766
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	4.15047211173525	3.04837303652158	6.70223850768924	5.96399334236726	3.2415220026881	16.9959	14.6941
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	4.03845756402694	3.15472436071779	6.99942441399341	6.04933688739033	6.83327681752982	17.4977	19.4553
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.0570263164011	4.75049320535264	6.83765934153518	6.15414721017188	6.40787409363374	16.8465	16.3219
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.98922629442447	3.08884347152912	6.92261974901028	6.29239821657082	4.17921152336723	16.1005	21.2023
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.9990807438319	3.02018293219172	6.99631632188217	6.21159742143265	4.7200787019532	14.2945	18.2976
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	4.15138778940247	3.13256108195311	6.66056743859222	6.39423281857065	3.41544030012744	15.6585	18.7489
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	4.15762060862222	3.31020221581798	7.2631452935467	5.90730300152296	4.27550691096607	17.9167	14.6941
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	4.1095586319764	2.96889825225804	6.7717010405897	5.93439651463028	3.37488903757238	14.9525	23.0229
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	4.04272833949495	3.08855309256253	6.92617024702534	6.11673165751881	3.62316979466408	16.4164	20.1569
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.97119934057377	3.05134721462191	6.92039915006845	5.91263032266127	3.42507672852042	18.9615	22.9993
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.11146457406294	3.2149750886879	6.6122629810351	6.6125223976503	5.08126746525762	15.3134	22.1237
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	4.04242035173485	3.03852491946252	7.52988798107275	5.75565884143427	3.30977472481333	16.6956	19.0231
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.99623544876826	3.08410799905136	6.92063656411342	5.70782777717223	3.80399920789435	17.7415	21.627
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	4.06028638605635	3.07929068075452	7.27380743394296	6.40192798770694	4.01572818608543	13.5861	20.8863
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	3.95464330812332	3.05841523284794	6.84478743984343	6.0941756609096	4.56816642611587	12.2883	14.6941
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	4.0419707873088	3.00488366455478	6.91734256263774	6.10384659115966	3.93974760957299	16.7528	14.6941
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	4.02792077486223	3.05204457791587	7.21958282750079	5.93463688098431	5.71629079517101	16.3401	14.6941
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.3587795746417	3.33648430216557	7.43804618080208	6.13669459941485	3.57143401862473	18.6223	21.8352
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	4.12967167213098	3.14497872796954	6.83740112484929	5.85817886964478	5.99856390318029	16.799	15.471
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	4.71855698199386	3.25359396867931	6.70174070697878	6.2733769072486	3.50942594659391	17.8281	21.0767
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	3.99760242096886	3.06051508412863	6.62771680815772	6.2254988520622	3.75347822510607	17.0624	18.8437
