ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NAA60_RNA	NAA30_RNA	NAA20_RNA	NAA10_RNA	NAA15_RNA	NAA11_RNA	SLC15A4_RNA	SLC15A3_RNA	SLC15A1_RNA	CARNS1_RNA	CNDP2_RNA	CNDP1_RNA	meta
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.41483158603265	7.52042147265958	7.09588905199093	5.97748313932086	6.93050007864869	3.79191768004414	6.87029109051558	6.23589634447124	8.2256038043812	6.15194848854294	7.72004730547788	5.43902316054952	15.3447
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	7.82207298419584	7.34220554698019	6.882120000757	6.05386107036257	6.57802634567241	4.2867959968761	6.92366231770115	6.07082980381507	6.43697182031527	6.10926633572053	8.33788569390609	4.46524806216088	14.0495
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.78800315963136	7.47923056912263	6.87426519289845	6.09446162419167	6.9277615326278	3.67388041380122	6.76682404062146	6.56169641298572	8.27734882205739	6.25418434741764	8.16110455550677	4.43620045894258	12.0423
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	7.68042052502393	7.17848905004753	6.74740375689949	6.13525945397759	6.59518582402657	5.70557644954697	6.78207697005254	6.34630524309479	7.36500815348564	6.13703391930511	8.06542347145773	4.37643579499714	12.0423
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.52226837453196	7.23787391503324	7.2454348004288	5.99779737617599	7.08843896037409	3.99126167578482	7.36315492317135	6.09866961142363	6.98454834811837	5.97348874245978	8.65158092173577	4.36346898826009	13.6724
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.69747415815912	7.21496720888298	6.54864193803652	6.20096323013331	6.00096512344018	4.64939883196279	6.63794334275503	6.71556138285486	6.42090144742814	6.1460028096904	8.19781517509354	4.50844077102225	12.0423
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.97040828312279	6.95120946301346	6.81349801874813	6.2421329450264	6.24686416246963	3.78111225191668	7.28426664878361	6.62524006974716	7.84857193563118	6.16403821290626	7.54218703678261	4.37975350699229	12.0423
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.2894916381211	7.3241306056345	6.63018215734359	6.23323153740676	6.32772931261134	4.51127997333461	7.48570379518793	6.39960405677957	7.80578325229193	6.45316903351504	8.11622898851112	7.16127577409718	12.0423
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.64975365058542	7.14833316191004	6.5547697008686	6.17497897472958	6.34734781969213	3.66055178743562	6.84360410531265	7.16567878051401	7.70489747412183	6.04023183632192	8.53586834537487	5.70089129350429	18.1757
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	7.09513231930043	7.03620715744197	6.3749291027025	6.18873326836655	7.05170171774144	4.03604476977687	6.85035953790057	6.79786393655897	5.92664724404828	6.46489482901385	7.73138245376453	4.96945780632968	17.1522
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.68477615973162	7.34782282505156	6.72417065958125	6.41481053187066	6.67078808388364	3.73094895909604	6.03268276076382	6.07101663405326	4.77010038831196	6.17807438874066	8.54416859374641	4.44787906304446	12.0423
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.8793209153603	7.30359037098684	6.95029830021769	6.36416243502049	6.22769176732582	3.60888990648155	7.20560636887053	6.08634838610541	7.08977505806525	6.0436220632855	8.12507818345838	6.04708010369636	16.7176
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.29302028230564	7.1383102650514	6.58112198955179	6.12384743336571	7.48120096112552	4.41360814707348	7.20889889284141	7.0597059298932	8.1353506225885	5.78305449347555	7.78808636979651	4.13111540371277	15.0567
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.06360803848321	7.31995012453577	6.74977119575863	6.03052882571478	6.86243017139974	3.72955425105451	7.17698215841507	6.51173848415922	7.54492681516188	6.1003730348076	8.21996181708248	4.56357158907233	12.1696
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.47317310290513	7.38563304097342	6.9657408192033	6.04921551669873	6.70289794641651	3.73492557814008	6.76219911162244	6.17340631407491	7.41348686600036	6.38297014157402	7.84873357452709	4.52217440744307	13.3651
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.89907839629251	7.04668357910252	7.0212350321313	6.28870709195864	6.43048418364624	3.94422486583914	6.4992631991696	6.12858987085892	7.66364697010027	6.19146108515099	8.14996037908126	4.50855041382552	12.0423
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.29442936917714	7.21890536948003	6.88833366614279	6.11790578287266	7.81863743162734	3.60857284424833	7.0631468187009	6.40002431183584	7.35425557862543	6.05202828955293	7.40644013079215	4.3060497268263	12.0423
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.60711434640937	7.14696812935806	6.71028413180924	6.33639472892295	6.38016089314402	3.64229782452128	6.50987832632077	5.99557348101313	8.06609470553921	6.21667053527137	7.56074514213661	4.49148263506871	12.0423
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.53696167892113	7.17896312959264	6.4036300153436	6.14263562409085	6.09321095909034	3.6990858115937	6.53249789303293	6.43954679487505	8.11984782463439	6.29623584376093	8.3309120673521	8.30836036001635	12.0423
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	7.2948015973048	7.34138189825803	7.17005363628578	5.92939807961329	6.23970290061529	3.68286634732871	7.21559413377332	6.38749558895253	7.82650275871754	6.09516195655987	7.97560153435046	4.34105379166582	13.0288
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.29337560192971	7.3242344905283	6.78271732805465	5.96918230832059	6.0947495930743	3.64651779695528	7.04812161989025	6.14770751422849	7.71431253668252	6.05953190166518	7.73026061017062	4.56157804907308	16.2743
