ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GAA_RNA	GANC_RNA	AMY1B_RNA	LYZL1_RNA	SLC2A3_RNA	MGAM_RNA	AMY2A_RNA	SI_RNA	CAPN3_RNA	Maltotriose_upmeta	meta
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.69646259572728	7.61005167734703	6.11340068151266	3.84222337356945	6.18679186141746	3.71740963281465	6.23709824520567	2.44652888424127	6.77045859537561	20.1215	20.1864
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	7.76958447891895	6.97682448705823	5.75306721810086	3.79504282074511	7.94210375673624	4.57439098721047	5.87662959777433	2.51207138805674	6.47566180614997	19.2401	20.6117
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.6210045264097	6.91236177551252	5.3797477663592	3.69935430241393	8.33357933610884	4.35015709848341	5.13458490367303	2.51423273098274	6.31591666650284	13.6609	14.5722
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.48247689084528	7.1160298839342	4.89358021956137	3.77367515519649	6.99004637894928	3.73325163866167	4.07031490420031	2.52405978008124	6.52926703036417	16.4667	13.1864
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.74984479388837	6.81943549318549	5.24866145139813	3.66559693068756	7.24415178873251	3.73521043160707	5.14098041429872	2.49130593502753	5.80345494119657	19.5972	19.7403
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.83393740775146	7.57951113945572	6.09161601700147	4.02391338457593	6.91179797534578	3.93456318365249	6.30535481004915	2.62757652183819	7.02635207590164	18.0728	13.1864
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.52932870800881	7.41446542083441	5.61391068253979	3.76424823693432	7.57068340960295	3.76600728317925	5.7376535283305	2.59168375451334	6.81619010298216	18.4807	18.3252
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	7.1600917053912	6.06396070067997	5.33904445112716	4.20874617004112	10.6966441243027	4.4284787150705	4.30617705290618	2.73008876125775	5.38444361917947	13.6609	13.1864
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.80120746708904	7.27478164206258	5.0405268998387	3.83564739201993	6.45711748177587	3.66465575264103	4.54204805228998	2.53717490487574	6.76942629730413	19.8754	19.2818
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.42275322726438	7.121855767575	5.82167607261361	3.63099536964634	7.42865593490667	4.19580699975632	5.91832791250962	2.51910405276204	6.66049724466482	13.6609	13.1864
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	8.43389214957394	6.55305478361044	5.17626538621041	3.65565170261987	8.91668706834603	3.8041909038316	4.78903645198059	2.45475765892002	5.50763689486794	19.2479	20.6686
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.34832349767355	8.72598928831674	6.20448549621418	3.82509401986608	7.78995583834571	4.11736285098502	6.22634559157264	2.49357697311428	8.00135229695197	17.021	13.1864
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.53052942897026	7.18538134264764	6.45786154273018	3.81465521336959	6.91609729496815	3.82490931925207	6.60085461487724	2.60039030936775	6.46479137991418	20.2949	19.649
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	8.30976062164382	6.39688877005165	5.01686847777606	3.8766909811678	6.11341426938635	3.78261990075349	4.77406142658234	2.51671197940833	5.66005553875007	20.3087	21.056
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.21653108665639	6.45692313364665	5.46976259905578	3.60646405541133	7.58701356993506	4.11170495718732	5.20322379104422	2.4837710079913	6.17379242456629	17.3944	13.1864
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.71933827305059	8.42407347043576	5.65221650758739	3.72271064253095	6.83000564917331	3.70762894148831	5.71177574801347	2.49069664456116	7.66241187069214	18.3562	20.747
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.80308987010601	7.53785934771359	6.12218220114506	3.96255971855647	7.57517503280765	3.95469856412187	6.35808768785008	2.52058637315105	7.28427240170542	20.9475	20.6416
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	7.51323785079271	6.90105414136408	6.95353387267063	3.83719125502179	6.68801941932431	3.92601014168281	7.39706945892657	2.51621186382625	6.35730268120623	21.3135	21.3261
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.17422441065869	7.16157691703826	6.36644151312412	3.6711167918513	7.22171987345953	4.06788732742774	6.48438853553202	2.50947448539098	6.60192862499373	19.0768	18.9605
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.70653426574538	6.38480302461156	5.50002706594407	3.84820503456641	7.17118549307678	3.77847038312592	5.20969660453692	2.4826916630735	5.49972180448268	18.1535	19.3503
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	7.69929629710995	6.50348127029842	5.6167663328145	3.82295429388697	7.2498444071711	3.75322002697507	5.49484812466129	2.5197180098438	5.76071716437148	19.9154	20.1241
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	7.71279631030935	6.92733576678997	6.56295061703089	3.61074768098717	8.52160151057086	4.97999589848515	6.88004719357675	2.45071364742743	6.65120013541686	22.2831	21.8896
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.51213862810611	6.8960236098099	5.02015747357905	3.81860554833548	7.23604070230617	3.7502704394133	4.42182875732098	2.45755655036743	6.1285965113632	21.1684	21.0475
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.99965914793527	8.23341041987292	6.76259578210134	3.9582125298266	8.35184520594227	3.99149884056122	7.2301801455659	2.81946264449988	7.22523474938035	21.8932	21.3229
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.80229412943728	7.14149255929128	5.92171776742746	3.64138617675455	8.12801876327547	3.74879678048916	6.2344534072661	2.50379960002343	6.41232977457859	19.8909	19.3217
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	7.41196964603059	6.47135713649801	5.48634182691685	3.74163614542159	7.24502851994357	3.74403001672268	5.4497751549325	2.53537346726402	5.97239521368613	20.4887	20.3335
