ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SAT1_RNA	SAT2_RNA	PAOX_RNA	SMOX_RNA	meta
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	8.9161222650626	8.86114146881176	6.75575717462354	5.66849267948986	14.7852
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	10.2030636113498	8.41121079099354	6.49202149684158	5.66529775329871	15.3296
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	9.10673655677481	7.10077603444633	6.61637776108482	6.15415910750411	11.983
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	9.36920856840883	6.86537500076407	6.21349193392447	5.81187264452517	17.3595
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	10.197311081128	7.43087077259758	6.31453827837696	5.40025428847253	11.983
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	9.66829681237881	8.60012373210408	6.39119309146378	5.9699729922678	15.7843
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	9.20089480228927	8.15955999009561	6.45365083032619	5.87342891787215	11.983
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	9.24404061614094	7.08630908107002	6.39236157165327	6.08110168059768	19.3875
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	9.86008928057633	8.26027668170046	6.50393122712397	5.60800525692385	11.983
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	10.0147696673017	7.67343524823841	6.18415768553354	5.90389806329379	17.9465
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	9.99350837271498	8.16929199055508	6.38734967507144	6.07828294783187	17.464
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	9.58242427070988	7.64909232041048	6.45661860706235	5.75965344032973	16.2582
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	9.38674017604784	7.87862277227253	6.55472751718535	5.51123280165295	11.983
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	8.80328631674181	7.77188088215771	6.34699516730966	5.69588070798274	11.983
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	9.87938574073133	8.40077111990349	6.51139109720487	6.02174124835705	11.983
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	9.51138186060437	8.57373686600433	6.50612987250415	5.73668949879691	11.983
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	10.2346708725214	6.43968744972023	6.33314160558168	6.20626531471961	22.1923
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	9.21284812901719	6.72559908894135	6.03520321383166	5.76186211968798	22.3477
