ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GGT7_RNA	GGT1_RNA	GGTLC2_RNA	GGT5_RNA	GGT6_RNA	SLC15A1_RNA	GGTLC1_RNA	SLC15A2_RNA	LAP3_RNA	ANPEP_RNA	NPEPPS_RNA	Glutathione_upmeta	meta
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.92609423728872	7.34182630303489	7.48075083433706	7.05542145052464	5.48925501423988	8.11984782463439	6.79862252610524	3.98910825859278	7.45214490448603	10.3183850184765	7.18803150475966	28.2274	22.3078
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.728274485722	5.98314635678269	6.61886635971693	6.42571044496155	5.23251337753116	7.82650275871754	6.07824696419103	4.3985871447522	8.53456817557417	8.46816875156865	7.52265906553467	29.7837	19.3588
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.00872776147633	7.94514627869938	7.64606447123387	6.55122982784434	5.3454687269169	7.71431253668252	6.83200996172404	3.88203984703017	6.70039087264188	10.4177194818712	7.54277902664992	26.9742	23.3207
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.90672967591776	7.55609922119644	7.57953406146127	7.10645507366038	5.4327973827363	8.77209377889899	6.89299229572018	4.17596986918968	6.60767814753329	10.8779782054742	8.17214488159284	28.4962	23.0044
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.49830615882761	7.30949571948826	7.29945715529846	6.99582617632673	5.20452042694928	8.41213665016593	6.59271850531879	3.91246743314481	6.95420704436187	10.0093197331728	7.39172408155599	24.8641	21.2512
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.95329480504053	5.8884260951753	6.95483338537541	7.05145234425489	5.58758677683449	4.92666726239421	6.13448255071403	4.20834679022475	6.86232866826972	10.1072296430636	7.60752015375741	29.121	23.1121
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.79348628182901	7.07121618128947	7.5407580442145	6.82618603623264	5.72244530149533	8.13026369952127	6.7566377421794	3.67442536946192	6.73017141855706	10.5223996997862	7.11181640836352	27.2098	22.7271
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.64603447579576	6.62168306850466	6.47760417064131	6.53631101581689	5.56803660985179	7.84476517617058	6.04514948997128	4.45010545711448	6.72183164756698	11.2634669099741	8.62413553666138	28.92	20.805
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	5.7093509729602	6.06572552652505	6.48914351010731	6.85626720329678	4.97266597735382	8.16025516833781	6.12404236842706	4.53725341136709	9.39580315672931	9.80793321416974	7.23179680200643	29.6368	21.3856
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.66444740778508	7.80531586131614	7.43511681764848	7.02083893191969	5.16531012136542	7.37336678904367	6.81379050698686	3.92831517864976	7.03938806889954	10.2264181611897	7.61405217033173	21.686	20.9564
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.76204868282497	7.64261188897933	7.27522077440972	6.65665903483189	5.34123998474315	8.95867979725337	6.59219619091148	3.96651597921203	6.88611620315348	10.8184818083748	7.76988486376694	26.07	21.9877
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	6.0665601341122	7.65953331661157	7.35546431213178	6.62513516323341	5.17447476568752	9.87437977594651	6.76874521681857	4.21112377334047	7.62614494803328	10.8146250707684	8.59003907092917	23.4717	21.2686
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	6.02770316056964	6.12519100638209	6.52591991810573	6.59537931925718	5.24500367526888	6.50607457565131	6.07167795834387	3.98118078770113	8.08965420667097	10.3451017362204	7.63332984198174	30.2952	22.5587
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	6.13790852600891	8.09354208143124	7.57634596848895	6.54346110817192	5.27781550858536	7.43016928076027	6.71041459255269	4.13651284561653	6.95943410029744	10.631754716876	7.84286406527053	27.6192	23.1646
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	5.71822258518841	6.89723415076983	7.3528811322172	7.33914834610461	5.47980114231296	7.53894932441445	6.6408995759138	4.31776683939664	7.5993452647926	9.83719900012547	7.3929962338577	27.1869	21.8846
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	5.86544361522744	6.10805341260359	6.83289097254682	6.64335705403304	5.36522086354754	8.6216844197519	6.04671618279596	4.10580781554158	7.16887508120864	10.6820388568009	7.25670071859792	25.4114	20.2676
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	6.15162120632697	7.31870534025764	7.11530520475231	6.48284553154388	5.19704113805243	8.51064846283728	6.45521088344593	4.25674856430646	7.19034757179698	10.571426623103	7.93657026905017	28.5179	21.6374
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	5.39260252932992	6.41418259281825	6.78210080684742	6.49649851452808	5.48656351110691	8.72436850462116	6.13321773642114	4.49560127641628	7.10810976068615	10.593652176071	7.47566396140182	26.5846	20.1773
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	5.83539024969296	7.05764336352794	7.22010118427509	7.19474989265194	5.88353464560056	7.6878761924859	6.77302617394806	4.31729827565253	7.86909347133089	9.98339992283931	7.25808600887168	26.4929	20.524
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.04477672848597	6.25567902794512	7.05510160333447	7.41015598589538	5.42514777821617	7.68548820417047	6.36334372651349	4.33876589598283	7.08165977727189	10.4243674492154	7.54361806900266	26.5355	21.629
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	5.66348230218255	6.6183007089152	7.10579088279322	7.23253450860047	5.47271834452517	6.63932426489992	6.23019389538698	4.27884176540066	6.91298706609963	8.66947128632746	8.33785873985129	22.1954	17.9976
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	5.45677711000944	7.40929964385232	7.30364750387667	6.41474439606376	5.48161508595072	9.72479050150818	6.72319350743207	4.2707347706371	7.05042440885788	10.8337338690328	8.51896136569166	27.9486	22.7106
