ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	LYZL1_RNA	AMY1B_RNA	AMY2A_RNA	meta
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	3.66559693068756	5.24866145139813	5.14098041429872	17.4959
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.02391338457593	6.09161601700147	6.30535481004915	16.3558
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.76424823693432	5.61391068253979	5.7376535283305	17.7033
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	4.20874617004112	5.33904445112716	4.30617705290618	11.2883
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	3.83564739201993	5.0405268998387	4.54204805228998	17.9318
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.63099536964634	5.82167607261361	5.91832791250962	12.7419
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	3.65565170261987	5.17626538621041	4.78903645198059	16.7377
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	3.82509401986608	6.20448549621418	6.22634559157264	17.9643
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	3.81465521336959	6.45786154273018	6.60085461487724	18.6404
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.8766909811678	5.01686847777606	4.77406142658234	18.3073
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	3.60646405541133	5.46976259905578	5.20322379104422	16.5221
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.72271064253095	5.65221650758739	5.71177574801347	15.7139
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	3.96255971855647	6.12218220114506	6.35808768785008	20.0337
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	3.83719125502179	6.95353387267063	7.39706945892657	19.2292
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	3.6711167918513	6.36644151312412	6.48438853553202	16.1534
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	3.84820503456641	5.50002706594407	5.20969660453692	14.7276
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.82295429388697	5.6167663328145	5.49484812466129	17.9318
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.61074768098717	6.56295061703089	6.88004719357675	20.2744
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	3.81860554833548	5.02015747357905	4.42182875732098	19.443
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	3.9582125298266	6.76259578210134	7.2301801455659	19.6389
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	3.64138617675455	5.92171776742746	6.2344534072661	18.3607
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	3.74163614542159	5.48634182691685	5.4497751549325	18.8682
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.74538747654227	6.68596702630813	7.12392490486435	16.8675
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.0468911767676	7.04666180171124	7.58465316862364	11.2883
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	3.77180635170845	5.54339955882093	5.69435296336413	16.3498
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.67112356647611	5.24622825708218	4.93060629010595	17.9805
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	3.77535885717521	5.90896055738306	6.07398130797623	19.8551
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	3.79544824880751	5.95951691901865	6.29691064077041	21.6966
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	3.660162055047	6.0142891717758	6.21512304386395	15.8224
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	3.81509473127286	7.58924964502997	7.8267332967473	18.22
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.10836353288962	6.27347698381656	6.63978873356959	15.9105
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	3.87529394278708	5.38311610777309	5.386312245896	17.9318
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	3.88749453176004	5.43231784125763	5.36752653046861	13.3636
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	3.55171861969836	4.85274778913797	3.71890441765354	14.3362
