ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	PNP_RNA	SLC28A2_RNA	SLC29A2_RNA	SLC28A3_RNA	ADA_RNA	NT5C_RNA	SLC29A1_RNA	ADA2_RNA	meta
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.60074409824302	4.26297548683155	5.83481140999127	3.60088496067468	5.15014747136615	5.97281897267056	8.10893999420209	5.93548125823725	14.7524
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.43845425887416	4.14304825764246	5.82951841466439	3.44552833896382	5.69452407085227	6.36964072734201	7.99807916984315	6.26949259789933	17.6218
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.60704871483453	4.33555217876799	6.33993198225417	3.49755759720718	5.30511064000854	6.51532953290767	7.79437532571488	6.26703331530453	17.2221
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.5175930118265	4.05286069280121	6.06531161082138	3.46191857229903	5.15494012693008	6.08037006461502	6.60398300090077	6.35216180847384	17.2725
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.49670695359721	4.47655520437165	6.0568988080453	3.83049091859356	5.30116037181653	6.17247852569866	7.49006924573805	5.789698779248	14.285
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.57210039115227	4.20609445847293	5.63006070565718	3.47486521393875	4.93622558188868	5.84197577168526	7.12088785916484	5.64848168484753	15.4192
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.79918441065261	4.21176532954651	5.80605737165687	3.56864719274904	5.01517749875284	5.94835392631401	7.58470760470821	6.34832815029199	16.348
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.30453794035632	4.17980595605124	5.92086038205963	4.18556560525096	5.42767162518455	5.89766737654888	7.9962340130346	5.6909068483736	18.4919
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.89811774630858	4.14674932354162	5.84374144499007	3.52253782916055	5.40477242832525	6.12803439150394	8.59260279088214	6.02991325279585	18.2932
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.50725328440982	4.1218761846231	6.17791124918678	3.65861558467347	5.50560073088444	5.75965030650481	7.17441151936916	6.47327282710289	16.3901
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.09081637632946	4.24438785883483	6.61121488372383	3.74877688569733	5.49650719529272	5.99729139204638	7.49702507215457	5.78430983358874	16.7798
