ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1A2_RNA	SLC27A2_RNA	SLCO1B3_RNA	SLC27A5_RNA	SLC7A9_RNA	ACOT8_RNA	ABCC3_RNA	SLC10A2_RNA	SLCO1B1_RNA	SLC10A1_RNA	ABCB11_RNA	CYP3A4_RNA	CYP7A1_RNA	SULT2A1_RNA	meta
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.00438315136364	9.45844932858395	11.5631269790842	9.86801732796636	6.64036031974502	5.80587195826218	8.5286419129955	3.15518908997555	10.5976630533028	10.702324897025	10.6753449087937	12.1271357450101	9.98048396275006	9.11729961194166	16.9566
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.25133194369037	10.6079528821943	4.04053995255181	8.91135679573402	7.32560232741346	5.46105743908183	9.36429572937423	2.98921650347206	10.5165043741278	11.1364489883453	9.28310649411615	6.39529108964923	6.90044466258901	9.73546553844584	18.6557
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.05376156470113	6.61347345120797	4.32598892653911	7.23894009219684	5.93401135325568	5.61704733766794	8.12877143895036	3.07416789874873	9.00195327975153	8.64661262043103	7.71201344942243	5.99356932940104	5.61002543975863	7.63207045372916	11.7603
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.09252886829183	10.1588234812026	5.94384687784557	7.03216605934627	7.1132422749759	5.63400957110779	9.42360430179768	3.05179471127339	8.87035284527076	8.587601872115	8.9195209203424	7.30242033425369	6.94031012308818	8.78241472346257	11.7603
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	2.92139701227012	8.23449954092193	9.82169445348869	7.66515484803654	7.06858174486279	5.98350447851374	8.31596521827793	3.12442380409481	10.0232042671772	8.86753651921744	7.7902533324527	8.75612630834155	3.79914738302147	8.59089341550121	11.7603
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	2.89430328424762	10.1305126295053	5.697825599747	8.01414695372011	6.64086487389508	5.70151954133165	8.82297935190375	3.07671508994144	9.46551445378531	9.47914393962727	8.77441991673501	5.66412762903008	4.19288082849558	8.77603694888943	16.5995
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	3.40390287706075	9.5986789780704	4.45313697790127	9.43162674169124	7.22718999624954	6.0493769166922	9.14068876202613	3.45599130358721	9.88217881669028	11.0177538969715	9.56148830034127	8.4993250730616	8.57923256195612	9.4700706963204	20.3354
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.12430647525306	9.75693364298273	10.320032701607	8.79155866910136	7.1382470443396	5.8206867050764	7.6889242124756	3.09740492701643	9.86867219690016	9.88331526767371	10.0147422241252	11.3527904812186	4.24300006984409	9.97972321526685	14.2582
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.75454253722948	6.3798661670936	3.92265371056634	6.4283666987637	5.14395229334651	5.82199800858693	6.47853980857876	3.38203302320897	3.92271887628009	5.32151345180415	5.33407467055419	4.89800617622087	3.84510168610729	3.76292083550707	11.7603
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	3.50915012995151	9.22869731629429	11.0987148553286	7.77023170361748	6.35641985896199	5.71028774802395	7.18794642274656	3.18845821069807	8.2497094462582	7.53979866869155	9.38968964454956	10.3165327167169	10.3046179863305	8.6376242891116	14.7561
