ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	LYZL1_RNA	AMY1B_RNA	AMY2A_RNA	GANC_RNA	GAA_RNA	MGAM_RNA	Maltotetraose_upmeta	meta
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	3.9988529816195	5.09330273235036	4.57266568303506	5.46306061492022	7.81068719304646	4.26288323092558	18.8425	20.0198
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.88973221315945	6.06289286103949	6.16700144843679	7.82616006766687	7.38096241873427	3.83043571567826	15.9629	18.9778
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	3.82994828147355	5.14668364289111	5.02836381909091	6.86807977050398	7.11744431911943	3.85816859750897	16.3243	18.34
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.77712848013269	6.06405303995759	6.12495119779696	7.78572284962417	7.50564304237465	3.804920622368	17.9318	19.645
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.84222337356945	6.11340068151266	6.23709824520567	7.61005167734703	7.69646259572728	3.71740963281465	17.2926	20.1215
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.79504282074511	5.75306721810086	5.87662959777433	6.97682448705823	7.76958447891895	4.57439098721047	16.6388	19.2401
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.69935430241393	5.3797477663592	5.13458490367303	6.91236177551252	7.6210045264097	4.35015709848341	11.2883	13.6609
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	3.77367515519649	4.89358021956137	4.07031490420031	7.1160298839342	7.48247689084528	3.73325163866167	16.1799	16.4667
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	3.66559693068756	5.24866145139813	5.14098041429872	6.81943549318549	7.74984479388837	3.73521043160707	17.4959	19.5972
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.02391338457593	6.09161601700147	6.30535481004915	7.57951113945572	7.83393740775146	3.93456318365249	16.3558	18.0728
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.76424823693432	5.61391068253979	5.7376535283305	7.41446542083441	7.52932870800881	3.76600728317925	17.7033	18.4807
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	4.20874617004112	5.33904445112716	4.30617705290618	6.06396070067997	7.1600917053912	4.4284787150705	11.2883	13.6609
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	3.83564739201993	5.0405268998387	4.54204805228998	7.27478164206258	7.80120746708904	3.66465575264103	17.9318	19.8754
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.63099536964634	5.82167607261361	5.91832791250962	7.121855767575	7.42275322726438	4.19580699975632	12.7419	13.6609
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	3.65565170261987	5.17626538621041	4.78903645198059	6.55305478361044	8.43389214957394	3.8041909038316	16.7377	19.2479
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	3.82509401986608	6.20448549621418	6.22634559157264	8.72598928831674	7.34832349767355	4.11736285098502	17.9643	17.021
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	3.81465521336959	6.45786154273018	6.60085461487724	7.18538134264764	7.53052942897026	3.82490931925207	18.6404	20.2949
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.8766909811678	5.01686847777606	4.77406142658234	6.39688877005165	8.30976062164382	3.78261990075349	18.3073	20.3087
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	3.60646405541133	5.46976259905578	5.20322379104422	6.45692313364665	7.21653108665639	4.11170495718732	16.5221	17.3944
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.72271064253095	5.65221650758739	5.71177574801347	8.42407347043576	7.71933827305059	3.70762894148831	15.7139	18.3562
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	3.96255971855647	6.12218220114506	6.35808768785008	7.53785934771359	7.80308987010601	3.95469856412187	20.0337	20.9475
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	3.83719125502179	6.95353387267063	7.39706945892657	6.90105414136408	7.51323785079271	3.92601014168281	19.2292	21.3135
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	3.6711167918513	6.36644151312412	6.48438853553202	7.16157691703826	7.17422441065869	4.06788732742774	16.1534	19.0768
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	3.84820503456641	5.50002706594407	5.20969660453692	6.38480302461156	6.70653426574538	3.77847038312592	14.7276	18.1535
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.82295429388697	5.6167663328145	5.49484812466129	6.50348127029842	7.69929629710995	3.75322002697507	17.9318	19.9154
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.61074768098717	6.56295061703089	6.88004719357675	6.92733576678997	7.71279631030935	4.97999589848515	20.2744	22.2831
