ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCC3_RNA	SLC10A2_RNA	SLC51B_RNA	ABCC4_RNA	BAAT_RNA	SLC10A1_RNA	SLC51A_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	8.94323565799483	3.10552962014697	5.85064153706891	7.27709738286266	9.55834218491415	10.119137220575	6.89046912474607	5.88208665427661	7.31303293991063	25.3706
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	8.47785692067962	3.24308405049871	5.14681938672012	6.20251608665346	9.89240817096843	10.1137151591949	7.20703716428686	6.85476703698446	7.47775762398822	23.9063
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	8.00105796031388	3.00995116483916	5.88428940337045	6.22317015712331	10.4404626409806	8.97894884514114	6.94045705586929	8.81009236337011	8.62363158125837	22.8674
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	7.73759740040282	3.15727189373251	5.52681979848043	6.60151308610809	10.1682130977795	7.01154436905942	6.61567647892066	7.00620870301722	8.59325449847569	24.7145
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	8.00096202881175	3.09966114412112	5.29484160787613	4.60102602634653	9.93205192753626	9.6953964488672	6.1114963662409	8.57696611175754	7.84614401564017	22.3536
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	9.30454956469756	7.45836364173709	4.88244487875836	8.80923484808367	9.36448772314309	4.89306810648591	5.63063001594863	3.95517428908989	3.85866014953251	20.0521
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	8.90847774860936	3.01022893838484	5.81242271152809	4.58496965252779	11.4341177023801	10.6008490034983	6.84018343653005	10.6018308015897	10.112406640546	24.2378
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	8.40153304989108	3.05198473084666	5.53388422135118	6.06663754471299	10.237087212259	5.68414271719608	5.88440897401288	8.15001883721332	8.18507913935968	22.7614
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	8.68125185607036	3.02673493574721	5.05571879988416	5.52853527846632	11.082984594132	9.93517324858777	6.87450869395166	8.74642120902874	9.97051511464398	22.0811
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	8.64032113852238	3.01646423573129	5.58346953802641	8.02052990652396	10.894563351979	10.6653222819031	6.54375640797365	9.06444338612395	9.62501261866208	24.4657
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	9.19021605619357	2.938137499182	6.70204393922352	5.1828246977349	11.3544247187619	10.4831341771931	5.6871521374993	9.4827251462924	9.37347205851076	22.6371
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	8.87029475053023	3.03376293767138	6.07815218004717	7.11628932395417	11.1345734130474	10.8256897521062	6.91399062023334	9.9667149617637	9.93966065606797	24.0887
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	8.3450878810457	3.15454272823105	5.42565012259139	5.03119399397307	10.6466251283248	10.1236562155344	7.17358292123221	8.77904905722203	9.56736752659642	23.9501
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	8.48421187864381	2.98688411133449	5.53608205024361	7.44288532392057	10.5585876840501	9.97853723343717	7.06635325050002	8.43844674986057	9.48784201108841	26.168
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	8.80451370168596	3.93190039287154	5.09534499054038	5.35904548263386	8.91405782238286	8.29230346785483	5.92904947426394	6.84019191090537	7.17581546431848	23.4737
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	9.49806093159449	3.04794919301442	5.19100219796217	8.30208101157481	10.1552900608382	5.23879785543702	6.35290921790419	3.62451388241672	8.19166415400814	19.628
