ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC3_RNA	SLC10A2_RNA	SLC51B_RNA	ABCC4_RNA	ABCC1_RNA	BAAT_RNA	SLC10A1_RNA	SLC51A_RNA	ABCB11_RNA	CYP3A4_RNA	SULT2A1_RNA	meta
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.04053995255181	3.25133194369037	7.32560232741346	9.36429572937423	2.98921650347206	7.29927236536663	6.93681780278246	5.86536951041331	12.0411647295165	11.1364489883453	6.10241291459806	9.28310649411615	6.39529108964923	9.73546553844584	22.3493
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.32598892653911	3.05376156470113	5.93401135325568	8.12877143895036	3.07416789874873	6.19679696565689	8.06321141663149	6.38227568572354	8.39961187538218	8.64661262043103	5.72224983757265	7.71201344942243	5.99356932940104	7.63207045372916	20.9898
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.94384687784557	3.09252886829183	7.1132422749759	9.42360430179768	3.05179471127339	5.6127320133349	6.53606436269603	7.44795684128002	8.68444936532441	8.587601872115	7.64244617943181	8.9195209203424	7.30242033425369	8.78241472346257	23.1849
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	9.82169445348869	2.92139701227012	7.06858174486279	8.31596521827793	3.12442380409481	5.18139041815632	4.63795170821578	6.09272675662428	9.51090514467912	8.86753651921744	6.08282311050708	7.7902533324527	8.75612630834155	8.59089341550121	21.8886
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.697825599747	2.89430328424762	6.64086487389508	8.82297935190375	3.07671508994144	7.03488462672894	7.19831721829409	6.02846208860539	10.2896351907018	9.47914393962727	7.33353634769383	8.77441991673501	5.66412762903008	8.77603694888943	23.3441
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.45313697790127	3.40390287706075	7.22718999624954	9.14068876202613	3.45599130358721	7.54676600509513	6.15997334394687	5.8668857311138	11.3998886169577	11.0177538969715	6.42854397855705	9.56148830034127	8.4993250730616	9.4700706963204	20.481
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	10.320032701607	3.12430647525306	7.1382470443396	7.6889242124756	3.09740492701643	5.4810150287657	4.77901670254378	6.11705327806029	11.166250222642	9.88331526767371	7.70764349265927	10.0147422241252	11.3527904812186	9.97972321526685	27.1832
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.92265371056634	3.75454253722948	5.14395229334651	6.47853980857876	3.38203302320897	5.43707507781868	5.67496086779734	7.50755807956811	5.7376271055155	5.32151345180415	6.47765969925426	5.33407467055419	4.89800617622087	3.76292083550707	16.8332
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	11.0987148553286	3.50915012995151	6.35641985896199	7.18794642274656	3.18845821069807	4.94876778789819	5.94865852973156	6.36777818313392	10.5698012648368	7.53979866869155	6.30658731093819	9.38968964454956	10.3165327167169	8.6376242891116	27.7169
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.96686254622286	3.26813299782395	7.20964667086057	7.62480157454398	3.02311573890338	5.61283216090722	6.34782207004611	6.89056405088611	9.30219020390413	9.33782536266979	6.80625142296285	8.34525446640096	6.67042748448323	8.37991827466955	22.8656
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	9.51867872331892	2.85436947191863	5.3970983248972	8.05117859690093	3.00679569522934	5.10775878102382	8.22140772941198	6.76513103321339	10.6420885657195	4.5761995189102	5.43337188647446	3.57226983744763	4.81425010390723	6.77958001232024	17.6244
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.33871603634212	2.99111062222455	7.05198536703427	7.92559920772548	3.1064448923012	5.38178432474549	5.27344962349261	6.38039894261001	11.3311578479209	9.40853160756176	5.74916094022024	8.72214236126754	5.37430771508842	8.90356115131628	21.6021
