ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	HSD3B2_RNA	HSD3B1_RNA	NADH_upmeta	meta
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	3.77657195221478	4.12556060361565	19.1186	11.4818
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.52161632342938	3.97301894747049	13.2018	11.4818
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	3.45566401461002	3.66491155704071	17.3613	11.4818
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.70064505882747	3.79710986137857	12.2883	19.3751
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.12035531102321	4.29422859760552	17.47	13.2866
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	3.65800131673233	4.04866585743239	16.9959	18.591
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	3.68711156380802	3.85599326861969	17.4977	11.4818
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	3.53882699058942	3.74489055729094	16.8465	13.5097
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.43317641758283	3.76714256526572	16.1005	16.99
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.66734940580372	3.88956229350728	14.2945	12.9645
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	3.68062766776798	3.87236130461926	15.6585	15.64
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	3.7324053132282	4.41936850949379	17.9167	17.076
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	3.45517506376855	3.98571947799605	14.9525	11.4818
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	3.38188474535935	4.08889041870079	16.4164	11.4818
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.52533248853658	3.84356667410855	18.9615	11.4818
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	3.59778095743396	4.03565795480982	15.3134	15.2111
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	3.68020566677856	3.67341284761957	16.6956	17.2192
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.43894641543003	3.69905376689779	17.7415	11.4818
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	3.7385167014252	3.89243828350276	13.5861	17.7999
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	3.68423815495071	4.24622151331886	12.2883	14.5664
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	3.55430611489992	4.39212642340242	16.7528	17.2503
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	4.10228642150309	5.9298282721926	16.3401	11.4818
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.17877965754702	4.59439245060758	18.6223	15.9623
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	3.87918380208778	3.92776802478604	16.799	11.4818
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	3.55125923297533	4.08905849512123	17.8281	15.8507
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	3.51408849384233	3.6958509403289	17.0624	18.5287
