ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	ACOT7_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC2_RNA	SLC10A2_RNA	ABCC1_RNA	BAAT_RNA	ACOT4_RNA	ACOT6_RNA	SLC10A1_RNA	ACOT1_RNA	STS_RNA	CYP3A4_RNA	SLC27A2_RNA	UGT2B7_RNA	UGT2A3_RNA	SULT2A1_RNA	SLC27A5_RNA	meta
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	10.2877970227773	6.45152972381085	3.73461780685269	6.5098227061267	9.10368075560489	3.0633208079684	6.35421911672522	10.1699794917332	3.93076374648188	3.12246690656016	4.91447843906019	7.68332067322843	5.66144924543105	5.98717980309659	8.08372054107329	8.2476022748988	8.32790287166953	6.56152841564146	6.1186243964569	10.6935
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	9.67101503064689	6.84809757335463	3.10137440505288	6.54417458717437	9.37579780393274	3.31399024360825	6.70886883047444	10.6772090397436	4.69923935946931	3.18223783398648	9.96912446859107	7.93402243291513	5.95227765002607	9.23853142579359	9.73496464160345	9.91621433635611	6.85683154938061	9.86137784632435	7.38357380363575	18.0461
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.37530585776127	6.35831416575922	3.05944594257748	6.75555966504555	9.25148572168894	3.30764120011173	6.1506754038832	10.4416894666188	4.19122678513167	3.14765443378857	8.76631143931566	7.36277273052098	6.90475971572404	5.76705037072036	7.33196502105834	8.97974476912342	7.60200969631615	7.27895638845079	6.69859561206728	15.8465
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.64595860855815	6.54851689557163	3.12956976751526	6.24227780845097	9.41933327762941	3.07717613990381	5.70474987259709	11.8255679369252	5.22773553208109	3.35706578459871	11.1655655233271	8.92725294975637	8.33178932139547	6.34623960543739	10.8805625216392	9.83899483782534	6.55287589408439	9.8527407207684	9.22445615557889	18.1558
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	9.66466366098125	6.13773102703313	2.93509877915464	6.64072258865752	9.15066702244403	3.17018865970657	5.91276023263554	10.377466090092	4.26039436621958	2.95790460443867	8.25018393189529	7.74345306327607	5.79169080888321	8.80912272934234	9.53156186773737	8.28194148311178	6.67572069841896	8.71102830867054	7.23029043735558	10.6935
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	11.5631269790842	6.28648436759462	3.00438315136364	6.64036031974502	10.6450646958267	3.15518908997555	5.63436107723103	11.4536273808459	4.32748242618024	3.18004452706099	10.702324897025	7.73920304570773	5.68296109147722	12.1271357450101	9.45844932858395	10.4810487818186	4.41801300745913	9.11729961194166	9.86801732796636	16.5148
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.04053995255181	6.21713201122528	3.25133194369037	7.32560232741346	10.7002508622277	2.98921650347206	5.86536951041331	12.0411647295165	4.87947782775532	3.14325046856576	11.1364489883453	7.73241928211887	7.76714555017377	6.39529108964923	10.6079528821943	10.0057895423016	4.86424332084129	9.73546553844584	8.91135679573402	16.589
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.32598892653911	6.28220928236318	3.05376156470113	5.93401135325568	9.20137891721768	3.07416789874873	6.38227568572354	8.39961187538218	4.08013775253514	3.31543419379486	8.64661262043103	7.50940623471258	5.33002529964106	5.99356932940104	6.61347345120797	8.76618372617134	6.46533035425306	7.63207045372916	7.23894009219684	10.6935
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.94384687784557	6.24718532670642	3.09252886829183	7.1132422749759	9.60917284649031	3.05179471127339	7.44795684128002	8.68444936532441	4.44772815751687	3.21485036316684	8.587601872115	7.1358511093727	7.19615350315219	7.30242033425369	10.1588234812026	9.02640102042909	8.15107812355221	8.78241472346257	7.03216605934627	15.6788
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	9.82169445348869	6.55635540664243	2.92139701227012	7.06858174486279	9.85708974371083	3.12442380409481	6.09272675662428	9.51090514467912	4.66037257254581	3.36429767562989	8.86753651921744	7.59047569916077	5.83529473766327	8.75612630834155	8.23449954092193	9.70724215770791	4.48563100874074	8.59089341550121	7.66515484803654	13.9858
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.697825599747	6.46654875830281	2.89430328424762	6.64086487389508	8.96161766910155	3.07671508994144	6.02846208860539	10.2896351907018	4.97848207904953	3.10895731704621	9.47914393962727	7.62130471134061	6.85537306886822	5.66412762903008	10.1305126295053	8.785884514546	6.45682958966606	8.77603694888943	8.01414695372011	16.177
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.45313697790127	6.62691974282136	3.40390287706075	7.22718999624954	9.96307692854615	3.45599130358721	5.8668857311138	11.3998886169577	5.03909697820909	4.3236882549943	11.0177538969715	7.91467599659363	6.32302871666032	8.4993250730616	9.5986789780704	10.1463760285663	4.01601516026799	9.4700706963204	9.43162674169124	16.5768
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	10.320032701607	6.27537352697179	3.12430647525306	7.1382470443396	10.2544497860693	3.09740492701643	6.11705327806029	11.166250222642	4.71565613452703	3.50087929252227	9.88331526767371	7.90815158439146	6.38125999312471	11.3527904812186	9.75693364298273	9.64916499144394	6.89378277874977	9.97972321526685	8.79155866910136	17.8356
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.92265371056634	6.59822432593085	3.75454253722948	5.14395229334651	8.98105916084282	3.38203302320897	7.50755807956811	5.7376271055155	4.30105909166747	3.48527242894022	5.32151345180415	6.77032731779784	6.24923990262422	4.89800617622087	6.3798661670936	7.8443525536059	7.00290138299323	3.76292083550707	6.4283666987637	10.6935
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	11.0987148553286	6.17503759612339	3.50915012995151	6.35641985896199	10.3549705626595	3.18845821069807	6.36777818313392	10.5698012648368	4.17294103382166	3.13870062311093	7.53979866869155	7.7928072582453	6.52005312375816	10.3165327167169	9.22869731629429	8.20728500789633	4.87957941751689	8.6376242891116	7.77023170361748	18.7538
