ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC2A7_RNA	SLC2A4_RNA	SLC2A1_RNA	SLC2A2_RNA	SLC2A11_RNA	SLC2A9_RNA	SLC2A8_RNA	G6PC3_RNA	G6PC2_RNA	GLB1L_RNA	SLC2A12_RNA	SLC2A3_RNA	SLC2A6_RNA	GLB1_RNA	SLC5A1_RNA	GALM_RNA	AKR1B1_RNA	SLC2A10_RNA	SLC2A14_RNA	AKR1B10_RNA	SLC2A5_RNA	LCT_RNA	SI_RNA	AGL_RNA	AMY1B_RNA	SETD5_RNA	LYZL1_RNA	SLC3A1_RNA	GBA2_RNA	AMY2A_RNA	GAA_RNA	GBA_RNA	GANAB_RNA	MGAM_RNA	SLC5A12_RNA	SLC5A2_RNA	SLC7A9_RNA	TREH_RNA	SLC5A10_RNA	SLC5A9_RNA	MOGS_RNA	SLC5A11_RNA	SLC3A2_RNA	PGGHG_RNA	GANC_RNA	GALC_RNA	SAPCD1_RNA	CAPN3_RNA	KANSL3_RNA	HKDC1_RNA	B4GALT1_RNA	HK1_RNA	B4GALT2_RNA	LALBA_RNA	HK2_RNA	HK3_RNA	GCK_RNA	ADPGK_RNA	Maltotetraose_upmeta	Maltotriose_upmeta	D-Maltose_upmeta	meta
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.48227522660904	5.3745580323849	7.53014999818505	8.72067136513142	5.32284011585759	6.09728765152399	6.56829619695403	6.60059902374332	3.3366358261105	6.46552252055431	4.03904643713986	8.88138813526482	6.23852857582958	7.91717655199828	4.56620257815152	8.26571549619555	5.69301021849153	7.2521103201414	6.82321868503575	5.96322851445422	5.53267065285439	3.82548265189677	2.49045781975745	5.76516474863316	5.14214833962879	7.60406490511797	3.70021676348466	4.52565047833267	6.34441017776172	4.89047286680472	7.37288199724801	6.78797970883001	9.7494289511793	3.8309256632025	4.29581166173962	5.83171682566556	6.5098227061267	4.99363995975599	5.62664692975101	7.11356038436869	6.47883776198015	5.60011825731072	8.78437978081248	6.67044192233498	6.08112462006738	6.25641913314806	6.56286753771527	5.44820071511846	7.14382785131694	6.11066241741733	9.3228972627363	4.33141998915644	6.97093726909986	3.34533585678845	6.76105866373675	5.70934412808047	5.29102837576109	5.51041962419612	16.0681	19.5034	18.4929	22.5437
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.84153320297207	5.70013836898891	6.89922222920042	10.5616472032512	5.65456165663426	5.73543813064882	6.48571187669084	6.19223948904567	3.65939203408553	5.94236265805349	4.57571201562878	8.01923353396225	6.68679328356363	7.57045969004586	4.87712718535904	8.01175204583403	5.61487629375531	8.28663028872973	5.984563200399	10.4394513567708	6.21946788597211	3.96829253385814	2.62890469671084	7.16048862855602	6.1554789206748	7.16706356165006	4.09635504549591	6.15905056461345	6.14058222429945	6.31035017168777	7.82080086305454	8.08147960666898	9.34830582744482	4.24770307151915	3.9207203025571	6.36768331126772	6.54417458717437	5.66550449568885	6.08218575855825	6.20747182157128	6.28586162887416	5.55265256099397	9.62138872894417	6.36510149047174	6.92539209428801	5.76764154038638	6.37139438540883	6.16314183226824	7.38044540431327	8.6730756805733	7.65985154431456	5.44473853244875	7.05939260855791	3.53549827308394	6.4483132941794	6.0957894301032	5.84913409858554	5.01231924004435	19.3957	20.8714	20.6388	29.1437
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.92229357139077	5.57865548666299	5.8941713404393	10.2528061035223	5.75317577077676	5.18129420381416	6.2004631185035	5.48601899432185	3.54273051967253	5.88279151668107	4.31479334667784	6.84158417508881	6.47028333967735	6.67905918603854	4.85363023307216	7.23872436900362	5.46800648178069	7.1757228223752	5.79179988440273	5.39874815084436	5.40608167249722	4.0004664026333	2.58467619867133	5.19962594354922	5.09330273235036	6.69553974132798	3.9988529816195	4.09781661266287	6.45164363611924	4.57266568303506	7.81068719304646	7.88727543051518	8.24160764667996	4.26288323092558	3.90533585450776	6.29779928246724	6.75555966504555	5.67988629341183	6.03579359136535	7.31146770915127	6.63295005115181	5.50041426513479	7.96952958222623	7.05876170584756	5.46306061492022	5.65810975357949	6.36398271678017	5.33733255611624	7.24992126955669	8.27132376860866	8.05016889204952	5.15842047151985	6.91326436618774	3.73581082609054	5.05302089277567	6.08933497058586	5.76065007807065	5.05691136937348	18.8425	20.0198	20.8912	26.5301
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.74587095278338	5.54924784291411	5.81772834287929	11.1441014886763	5.3369906540951	5.41880655421464	6.98734050746076	5.97603182097376	3.61141112934729	5.24316337104292	4.33093681671989	6.27459437981488	6.2524785432989	7.39157986561426	4.89418524097941	8.05490103157902	5.45643860594557	8.25924738042197	5.70724411825839	9.631992099481	6.34004764114439	3.99825535348214	2.57373621171288	5.93142513538872	6.06289286103949	7.08704365574582	3.88973221315945	4.40668326010159	7.08064922998177	6.16700144843679	7.38096241873427	7.55663896984472	9.39537336183483	3.83043571567826	3.84961570841143	6.1087138502948	6.24227780845097	5.29589500333926	5.93068723994493	6.77682905763202	6.65945172136103	5.27692375856155	8.02766773281268	7.1679363472304	7.82616006766687	5.19394878801499	6.17746645738692	7.15608991195944	7.00336432452566	8.5127046987144	8.33552627834522	6.05081592848083	6.80047297572594	3.51014918370261	4.76875197797343	5.89694103683219	7.7928532926754	4.70551351339072	15.9629	18.9778	16.7259	30.7553
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.49132063709443	5.379477659835	5.80808802713647	10.7075080098646	5.40117779286017	6.05201133553815	6.32522807429803	5.89724227247434	3.40342865608913	5.88863291378506	4.53908792262953	7.34785758606225	6.24892525168756	7.28299580295758	4.69989787081388	8.09300865985379	5.55796539385471	7.1506394393554	5.63101352547743	9.75748602968352	4.96057263444558	3.84024638821595	2.53690735434409	5.53666007085025	5.14668364289111	7.38986286867132	3.82994828147355	4.34647457933615	6.95334468734715	5.02836381909091	7.11744431911943	7.20173277573887	8.88946066019748	3.85816859750897	3.67287251447932	6.00731534711307	6.64072258865752	5.4039504549503	5.76199005807624	6.49931047029768	6.45354399212588	5.05942387434149	8.59340853609129	6.28263255225284	6.86807977050398	6.04198695797279	6.36214289992135	6.35036262277361	7.14926530259392	7.18940538718077	8.42857465189675	4.7089659050507	6.65686262207524	3.48143290589504	4.79656437526467	5.66730573419552	5.51506804923736	4.89766590759719	16.3243	18.34	18.8926	30.2337
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.55280861549336	5.62812856527127	5.64443768106593	11.3813574803985	5.30775940947705	6.33449175159416	6.22179993491246	6.35823819586521	3.66012301300295	5.92018049928199	8.15930854711688	6.22553780360646	6.03593478594129	7.31543648197383	4.76271964621629	7.56469595676616	6.63202070000528	7.29702222137268	5.46911380600036	10.3488192104275	5.2462659080844	3.89306207319088	2.49246498643566	7.60616110526239	6.06405303995759	7.17970435636912	3.77712848013269	3.82166141043316	7.03991871317869	6.12495119779696	7.50564304237465	7.88839839065499	9.30243630599458	3.804920622368	3.75393880521427	5.91413453805241	6.64036031974502	5.48184286038007	5.72637983502425	5.74211415891016	6.41829189449374	5.58647139454962	8.57657221047627	5.98983416881794	7.78572284962417	5.506620202864	6.669690438827	7.05566275050802	7.17328033009617	4.79475229041954	7.96218524137731	4.62021551077368	6.73856172672883	3.53806525922546	4.63140062419095	5.78920606054227	5.54115864984259	5.11672659875141	17.9318	19.645	18.9395	29.5489
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.7249655750023	5.33847913300669	5.82291917403213	9.88694378287505	5.27674517315534	6.7018690159491	6.13540359424988	6.05762940659427	3.51177143676199	5.24114128808986	5.11184764125209	6.18679186141746	6.10804372364711	7.56477776935804	4.60026165269628	6.99773011040446	5.59941435950991	7.60659277984669	5.4878636921382	11.971518712137	5.03166700180672	3.92078643287771	2.44652888424127	6.25105348161773	6.11340068151266	7.70020462879653	3.84222337356945	4.01443661365434	6.84823213704455	6.23709824520567	7.69646259572728	7.32370719779574	8.99123279031893	3.71740963281465	3.70758313677504	6.19404679036586	7.32560232741346	5.21162787527373	5.77639698790971	6.2085178318125	6.651240614777	5.18345379860273	9.64494038504732	7.24570983881764	7.61005167734703	5.25358932662877	6.20604640698514	6.77045859537561	6.91529845695051	5.76431154124647	8.60629426982605	4.60887579353602	6.62068485805407	3.37564859060352	4.61614950272794	5.73039878983313	5.49170162118629	4.20730005186955	17.2926	20.1215	20.1864	29.4095
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.57949569683083	5.50692681769362	6.842791102184	9.94297632476031	5.49770304819756	5.49644733367833	6.12999845609743	5.89202663593658	3.41332930274374	5.88287693671107	5.29225623305181	7.94210375673624	6.25058131846645	7.39334606462788	4.97399406360946	7.87666262578856	6.67904887917868	7.79430788969737	5.77298720422159	7.8919520630823	7.37141030737048	3.8074449296757	2.51207138805674	6.82030820989634	5.75306721810086	7.21764649532199	3.79504282074511	4.14411088802887	7.53881018091579	5.87662959777433	7.76958447891895	7.6450758014905	8.99433905742671	4.57439098721047	4.59474413583227	5.84980721503698	5.93401135325568	5.06176077953198	5.56577359927199	7.16621203706915	6.22346726681748	5.1157793937983	9.00107871413076	6.22865086889218	6.97682448705823	5.48116448960579	6.72207355941732	6.47566180614997	7.25427741657497	6.93493951201883	8.43614172619602	4.41016505140826	6.92208902433913	3.39158994271543	5.52277493404323	5.78067544306795	5.45420324045081	5.25173236342564	16.6388	19.2401	20.6117	27.9891
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.44367603107637	5.35338431835186	6.70708167515101	9.48925207504507	5.08387878010693	4.81895315265794	6.53096664647247	6.21585954548793	3.32669956785328	6.59603260786366	6.06177152499056	8.33357933610884	6.34309626747845	7.44092808946082	4.51152890655807	7.70409159201908	7.20804479116379	7.96149387172171	5.91811032125169	12.1840406420913	6.28402493147849	3.82390201027937	2.51423273098274	7.2860320514292	5.3797477663592	7.5409855762554	3.69935430241393	4.66842752876416	6.89982310141166	5.13458490367303	7.6210045264097	8.01074482631737	9.7328747418756	4.35015709848341	3.95663328231808	5.70890052900884	7.1132422749759	4.95209277282836	5.51061737304228	5.45649246243073	6.51521452324662	5.5709306314707	8.63433840541851	6.54928973159489	6.91236177551252	5.32713439468416	6.53043515687943	6.31591666650284	7.05117233159889	6.62669237333286	8.32471481587466	4.37648474708024	7.06499767144484	3.29317547836208	7.00875065071008	5.61512278672672	5.31977447905252	4.86197143165851	11.2883	13.6609	14.5722	22.4454
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.67045501537048	5.65651643008369	6.57998521371988	11.4167650164077	5.60781341626763	6.0250087954118	6.55960264080486	6.26735662874153	3.3623100679993	6.88438793881164	5.32300296714645	6.99004637894928	6.42432999815696	7.570273101203	4.74520699559848	8.38351550524979	6.06999648941343	7.64692997405998	5.5878822134572	11.0581125489815	5.81220501186057	4.09146364036175	2.52405978008124	6.54642046893028	4.89358021956137	7.41133740804387	3.77367515519649	3.95672433488218	6.45964445234617	4.07031490420031	7.48247689084528	7.97269055030954	9.47407705084357	3.73325163866167	3.77496975440987	6.11373431135808	7.06858174486279	5.2192910700713	5.78356834834319	6.34573354305763	6.81279405996049	6.29993368904401	8.57563631085537	6.13918670620528	7.1160298839342	6.18871750492285	7.41156122281278	6.52926703036417	6.99007942353778	5.47690423151508	7.58360386863937	4.55089222190544	6.49816577854784	3.38864353866489	4.79841507738331	5.89113244312418	5.57428045912333	4.98961046796553	16.1799	16.4667	13.1864	27.3127
